Year, Month, Interannual_Variation, Five_Month_Average
1978,5,-0.039,
1978,6,-0.053,
1978,7,-0.038,-0.031,
1978,8,-0.005,-0.018,
1978,9,-0.018,-0.007,
1978,10,0.025,-0.015,
1978,11,-0.001,-0.008,
1978,12,-0.076,-0.001,
1979,1,0.029,-0.001,
1979,2,0.018,-0.001,
1979,3,0.025,0.012,
1979,4,-0.001,-0.000,
1979,5,-0.010,-0.009,
1979,6,-0.033,-0.019,
1979,7,-0.027,-0.018,
1979,8,-0.024,-0.008,
1979,9,0.003,0.001,
1979,10,0.040,0.014,
1979,11,0.014,0.033,
1979,12,0.038,0.061,
1980,1,0.071,0.056,
1980,2,0.145,0.055,
1980,3,0.012,0.044,
1980,4,0.007,0.027,
1980,5,-0.014,-0.006,
1980,6,-0.015,-0.007,
1980,7,-0.021,-0.009,
1980,8,0.008,-0.014,
1980,9,-0.004,-0.025,
1980,10,-0.040,-0.022,
1980,11,-0.067,-0.008,
1980,12,-0.005,-0.014,
1981,1,0.076,-0.005,
1981,2,-0.033,0.004,
1981,3,0.002,0.004,
1981,4,-0.021,-0.022,
1981,5,-0.006,-0.016,
1981,6,-0.053,-0.027,
1981,7,-0.001,-0.036,
1981,8,-0.054,-0.036,
1981,9,-0.065,-0.014,
1981,10,-0.008,-0.022,
1981,11,0.057,-0.023,
1981,12,-0.040,-0.019,
1982,1,-0.056,0.002,
1982,2,-0.046,0.006,
1982,3,0.095,0.021,
1982,4,0.076,0.044,
1982,5,0.033,0.049,
1982,6,0.060,0.035,
1982,7,-0.017,0.031,
1982,8,0.022,0.037,
1982,9,0.055,0.067,
1982,10,0.065,0.094,
1982,11,0.209,
1982,12,0.118,
1990,11,-0.039,
1990,12,-0.075,
1991,1,-0.076,-0.036,
1991,2,-0.024,-0.044,
1991,3,0.035,-0.044,
1991,4,-0.082,-0.036,
1991,5,-0.075,-0.032,
1991,6,-0.034,-0.041,
1991,7,-0.004,-0.023,
1991,8,-0.011,-0.004,
1991,9,0.010,-0.005,
1991,10,0.017,-0.001,
