Label,Value,StdDev
SSB_1973,205308,60028.9
SSB_1974,208275,59676.1
SSB_1975,204892,58285.9
SSB_1976,195746,56319.6
SSB_1977,179811,54173.3
SSB_1978,173568,52164.9
SSB_1979,166961,50283.8
SSB_1980,155984,48387.8
SSB_1981,152668,46726.7
SSB_1982,149051,45240
SSB_1983,144988,44041.4
SSB_1984,142381,42959.5
SSB_1985,138846,41739.5
SSB_1986,133034,40266.5
SSB_1987,126423,38637.2
SSB_1988,121081,37271.9
SSB_1989,117897,36243.4
SSB_1990,114731,35210.9
SSB_1991,110981,33998.5
SSB_1992,106863,32793.9
SSB_1993,103876,31806.3
SSB_1994,102757,31126.5
SSB_1995,100679,30291.9
SSB_1996,96752.6,29157
SSB_1997,91619.2,27848
SSB_1998,87304.8,26694.1
SSB_1999,85897,25865.7
SSB_2000,82606.6,24918.8
SSB_2001,78017.1,23738.8
SSB_2002,74104,22675.5
SSB_2003,75410.6,22705
SSB_2004,82490,24361.5
SSB_2005,90497,26346.1
SSB_2006,95212.3,27591.9
SSB_2007,96184.2,27908.2
SSB_2008,94814,27533.7
SSB_2009,91041.9,26625.4
SSB_2010,85111.8,25360.7
SSB_2011,80351.5,24338.9
SSB_2012,79223,24176.2
SSB_2013,79605.1,24258.2
SSB_2014,80187.9,24298.6
SSB_2015,79676.1,24096.7
SSB_2016,78633.2,23882.4
SSB_2017,79326.7,24160.6
SSB_2018,80687.2,24583.9
SSB_2019,83925.1,25505.1
SSB_2020,90756.5,27357.9
SSB_2021,97801.9,29081.9
SSB_2022,99956.5,29996.6
SSB_2023,99449.9,30288.2
SSB_2024,95943.8,28714.5
SSB_2025,93063.3,27753.5
SSB_2026,90925,27590.9
SSB_2027,89290.8,28037.2
SSB_2028,87941.5,28828.8
SSB_2029,86743.8,29771.3
SSB_2030,85644.5,30753.9
SSB_2031,84634.2,31720.9
SSB_2032,83707.8,32643.6
Recr_1890,15122,21024.2
Recr_1891,15055.5,20898.2
Recr_1892,14986.2,20767.1
Recr_1893,14914,20630.8
Recr_1894,14838.9,20489.3
Recr_1895,14760.7,20342.4
Recr_1896,14679.3,20189.8
Recr_1897,14594.4,20031.4
Recr_1898,14505.9,19866.9
Recr_1899,14413.6,19695.9
Recr_1900,14317.3,19518.5
Recr_1901,14217.1,19334.6
Recr_1902,14113,19144.5
Recr_1903,14005.4,18948.5
Recr_1904,13894.5,18747.1
Recr_1905,13780,18540.2
Recr_1906,13661.9,18327.4
Recr_1907,13539.6,18108.5
Recr_1908,13413.6,17884.1
Recr_1909,13285,17656
Recr_1910,13154.5,17425.1
Recr_1911,13022.6,17192.3
Recr_1912,12887,16954.3
Recr_1913,12745.1,16707.3
Recr_1914,12595.6,16450
Recr_1915,12442.9,16188.5
Recr_1916,12291.8,15930.4
Recr_1917,12132.2,15661.2
Recr_1918,11972.9,15394.6
Recr_1919,11807.3,15122.6
Recr_1920,11644.1,14851.5
Recr_1921,11479,14577.6
Recr_1922,11317.7,14311.9
Recr_1923,11152.4,14041.3
Recr_1924,10980.1,13762.6
Recr_1925,9775.53,12248.1
Recr_1926,9913.06,12504.9
Recr_1927,9490.01,11794.9
Recr_1928,9250.06,11408.2
Recr_1929,9450.82,11762.8
Recr_1930,9365.17,11633.8
Recr_1931,9151.94,11292.4
Recr_1932,8771.19,10673
Recr_1933,8755.94,10656.8
Recr_1934,8658.74,10509.4
Recr_1935,10284.2,13303.9
Recr_1936,7799.76,9170.08
Recr_1937,7874.64,9298.12
Recr_1938,10039.4,12930.8
Recr_1939,9666.47,12273.6
Recr_1940,9075.17,11242.4
Recr_1941,7995.19,9504.48
Recr_1942,8079.23,9630.93
Recr_1943,8369.4,10083
Recr_1944,8436.82,10192.4
Recr_1945,9173.28,11425
Recr_1946,8036.47,9585.64
Recr_1947,8430.11,10212
Recr_1948,8133.39,9756.96
Recr_1949,9241.07,11528.2
Recr_1950,10081,12937.2
Recr_1951,9833.75,12542.6
Recr_1952,12292.9,16976.8
Recr_1953,9740.28,12369.8
Recr_1954,11544.7,15526.4
Recr_1955,17909.7,28858.3
Recr_1956,14912.8,22062.5
Recr_1957,15735.1,23942.4
Recr_1958,14423,21180.9
Recr_1959,21143.4,36730.8
Recr_1960,14240,20699.3
Recr_1961,15711.8,23789.2
Recr_1962,21605.5,38367.1
Recr_1963,13503.5,19194
Recr_1964,22161.9,42234.8
Recr_1965,15609.7,23458.5
Recr_1966,220342,89835.3
Recr_1967,10773.3,13867.9
Recr_1968,15509.4,23049.4
Recr_1969,10284.1,12860.7
Recr_1970,14552.6,20188
Recr_1971,10793.7,13280.9
Recr_1972,11886.9,14874.2
Recr_1973,18010.4,25194.2
Recr_1974,14144,18525.1
Recr_1975,20931.8,31640.5
Recr_1976,34095.8,40250
Recr_1977,13566.6,18154.2
Recr_1978,8843.33,11858.2
Recr_1979,58709.1,25543.1
Recr_1980,10638.4,10307.8
Recr_1981,19929.8,8932.84
Recr_1982,12137.2,5386.75
Recr_1983,4137.94,4439.65
Recr_1984,25175.5,10312.3
Recr_1985,23427.5,10637.8
Recr_1986,15929.1,6256.49
Recr_1987,3419.76,3170.64
Recr_1988,18219.9,5486.16
Recr_1989,11615.7,4852.49
Recr_1990,33468.5,8224.75
Recr_1991,1399.02,1194.21
Recr_1992,7433.31,3146.2
Recr_1993,3850.08,2064.12
Recr_1994,9836.95,2885.13
Recr_1995,24339.5,5753.33
Recr_1996,704.369,570.047
Recr_1997,541.295,383.15
Recr_1998,5894.78,2157.57
Recr_1999,21514.7,6096.16
Recr_2000,69677.3,18516.5
Recr_2001,17570.6,5615.68
Recr_2002,10865.1,3342.06
Recr_2003,2277.3,886.204
Recr_2004,7243.73,2138.33
Recr_2005,499.957,325.349
Recr_2006,2107.05,753.749
Recr_2007,768.183,469.427
Recr_2008,41725.6,11346.7
Recr_2009,2029.67,1165.72
Recr_2010,16187.4,4649.85
Recr_2011,6445.91,2146.93
Recr_2012,2759.31,1227.33
Recr_2013,34307.6,9684.65
Recr_2014,6708.58,2280.71
Recr_2015,18010.9,5449.76
Recr_2016,55594.5,15802.6
Recr_2017,10688.7,3905.59
Recr_2018,8151.38,3894.33
Recr_2019,6274.11,8223.76
Recr_2020,12455.3,17073.6
Recr_2021,15207.7,21837.9
Recr_2022,15264.2,21918.8
Recr_2023,15251.1,21902
Recr_2024,15157.4,21765.3
Recr_2025,15076,21647.1
Recr_2026,15012.8,21555.5
Recr_2027,14962.9,21483.3
Recr_2028,14920.6,21422.3
Recr_2029,14882.1,21367.1
Recr_2030,14846,21315.7
Recr_2031,14812.2,21267.8
Recr_2032,14780.6,21223.2
SPRratio_1890,0.000244992,0.000113249
SPRratio_1891,0.000705503,0.000326082
SPRratio_1892,0.000786095,0.000363329
SPRratio_1893,0.00117372,0.000542448
SPRratio_1894,0.00143509,0.000663694
SPRratio_1895,0.00195708,0.000906308
SPRratio_1896,0.00220306,0.00102146
SPRratio_1897,0.00245122,0.00113766
SPRratio_1898,0.00270167,0.00125491
SPRratio_1899,0.00295449,0.00137316
SPRratio_1900,0.00597501,0.00277551
SPRratio_1901,0.00932614,0.00430215
SPRratio_1902,0.0127042,0.00583839
SPRratio_1903,0.0161115,0.00738495
SPRratio_1904,0.0195512,0.00894303
SPRratio_1905,0.0176996,0.00806593
SPRratio_1906,0.0176061,0.00799638
SPRratio_1907,0.0187073,0.00847566
SPRratio_1908,0.0120082,0.00536319
SPRratio_1909,0.0191387,0.00861632
SPRratio_1910,0.0263368,0.0118839
SPRratio_1911,0.0336135,0.0151708
SPRratio_1912,0.0409799,0.0184817
SPRratio_1913,0.0484456,0.0218207
SPRratio_1914,0.0560191,0.0251906
SPRratio_1915,0.0636495,0.028574
SPRratio_1916,0.165711,0.0721989
SPRratio_1917,0.244166,0.0995612
SPRratio_1918,0.344583,0.139265
SPRratio_1919,0.136608,0.0595092
SPRratio_1920,0.116764,0.0486022
SPRratio_1921,0.155694,0.0639134
SPRratio_1922,0.110336,0.0483373
SPRratio_1923,0.194015,0.0819626
SPRratio_1924,0.246221,0.100749
SPRratio_1925,0.283933,0.116426
SPRratio_1926,0.239039,0.10238
SPRratio_1927,0.344377,0.13772
SPRratio_1928,0.299495,0.122221
SPRratio_1929,0.325773,0.129739
SPRratio_1930,0.366964,0.145644
SPRratio_1931,0.218057,0.0913091
SPRratio_1932,0.259904,0.1087
SPRratio_1933,0.244544,0.100604
SPRratio_1934,0.406779,0.157467
SPRratio_1935,0.511022,0.189332
SPRratio_1936,0.389818,0.159327
SPRratio_1937,0.425052,0.174104
SPRratio_1938,0.424864,0.17438
SPRratio_1939,0.469683,0.189341
SPRratio_1940,0.388475,0.164065
SPRratio_1941,0.383178,0.159061
SPRratio_1942,0.543062,0.206411
SPRratio_1943,0.628308,0.220489
SPRratio_1944,0.703551,0.233181
SPRratio_1945,0.707948,0.239077
SPRratio_1946,0.732139,0.257828
SPRratio_1947,0.440893,0.188608
SPRratio_1948,0.53949,0.214185
SPRratio_1949,0.568766,0.221705
SPRratio_1950,0.519184,0.205467
SPRratio_1951,0.750188,0.255548
SPRratio_1952,0.5234,0.205582
SPRratio_1953,0.3523,0.150263
SPRratio_1954,0.46195,0.18599
SPRratio_1955,0.431993,0.178234
SPRratio_1956,0.602958,0.216643
SPRratio_1957,0.469276,0.193758
SPRratio_1958,0.286108,0.12829
SPRratio_1959,0.386556,0.163396
SPRratio_1960,0.457299,0.191587
SPRratio_1961,0.293664,0.130292
SPRratio_1962,0.385613,0.164346
SPRratio_1963,0.275171,0.117849
SPRratio_1964,0.289852,0.122309
SPRratio_1965,0.266191,0.115515
SPRratio_1966,0.258573,0.108377
SPRratio_1967,0.482914,0.190748
SPRratio_1968,0.268236,0.107965
SPRratio_1969,0.444941,0.18322
SPRratio_1970,0.379221,0.12165
SPRratio_1971,0.281502,0.0874729
SPRratio_1972,0.424304,0.118701
SPRratio_1973,0.40901,0.116145
SPRratio_1974,0.511115,0.133622
SPRratio_1975,0.757971,0.170883
SPRratio_1976,1.12578,0.19064
SPRratio_1977,0.664039,0.163405
SPRratio_1978,0.884711,0.188896
SPRratio_1979,1.32769,0.181245
SPRratio_1980,0.796193,0.188943
SPRratio_1981,0.888879,0.185441
SPRratio_1982,1.19508,0.188435
SPRratio_1983,1.0419,0.189811
SPRratio_1984,0.997123,0.182915
SPRratio_1985,1.05497,0.186414
SPRratio_1986,1.05789,0.187593
SPRratio_1987,1.07298,0.188264
SPRratio_1988,0.990153,0.187815
SPRratio_1989,0.964647,0.185522
SPRratio_1990,0.913517,0.182402
SPRratio_1991,0.973063,0.185839
SPRratio_1992,0.984263,0.185805
SPRratio_1993,0.887984,0.178763
SPRratio_1994,0.857476,0.176947
SPRratio_1995,0.906369,0.17894
SPRratio_1996,1.00721,0.185094
SPRratio_1997,1.07079,0.186946
SPRratio_1998,0.700737,0.156192
SPRratio_1999,0.968942,0.182562
SPRratio_2000,1.00879,0.188588
SPRratio_2001,0.992932,0.189617
SPRratio_2002,0.692021,0.162034
SPRratio_2003,0.726876,0.167626
SPRratio_2004,0.673938,0.159975
SPRratio_2005,0.655003,0.157275
SPRratio_2006,0.641178,0.156226
SPRratio_2007,0.581018,0.147175
SPRratio_2008,0.658549,0.160583
SPRratio_2009,0.824919,0.183544
SPRratio_2010,0.872231,0.190034
SPRratio_2011,0.970534,0.188787
SPRratio_2012,0.750879,0.172243
SPRratio_2013,0.610802,0.155508
SPRratio_2014,0.612182,0.15689
SPRratio_2015,0.712245,0.17217
SPRratio_2016,0.756253,0.177423
SPRratio_2017,0.683499,0.166008
SPRratio_2018,0.663391,0.163197
SPRratio_2019,0.61702,0.156378
SPRratio_2020,0.403801,0.113279
SPRratio_2021,0.675909,0.164546
SPRratio_2022,0.675457,0.166391
SPRratio_2023,0.959663,0.00728155
SPRratio_2024,0.956556,0.029692
SPRratio_2025,0.954028,0.108206
SPRratio_2026,0.951441,0.159516
SPRratio_2027,0.948174,0.196623
SPRratio_2028,0.945547,0.220419
SPRratio_2029,0.942923,0.234757
SPRratio_2030,0.939642,0.24351
SPRratio_2031,0.937009,0.24944
SPRratio_2032,0.934367,0.253984
F_1890,5.61E-06,1.72E-06
F_1891,1.61E-05,4.96E-06
F_1892,1.80E-05,5.53E-06
F_1893,2.68E-05,8.27E-06
F_1894,3.28E-05,1.01E-05
F_1895,4.47E-05,1.38E-05
F_1896,5.02E-05,1.56E-05
F_1897,5.58E-05,1.74E-05
F_1898,6.15E-05,1.92E-05
F_1899,6.72E-05,2.10E-05
F_1900,0.000135865,4.26E-05
F_1901,0.000212431,6.67E-05
F_1902,0.000289602,9.11E-05
F_1903,0.00036742,0.000115713
F_1904,0.000445948,0.000140632
F_1905,0.000403469,0.0001274
F_1906,0.00040122,0.000126823
F_1907,0.000426182,0.000134829
F_1908,0.000273978,8.68E-05
F_1909,0.000435707,0.000138004
F_1910,0.00059923,0.00018986
F_1911,0.000764736,0.000242393
F_1912,0.000932429,0.000295674
F_1913,0.00110251,0.000349771
F_1914,0.00127518,0.000404749
F_1915,0.00144919,0.000460214
F_1916,0.00389179,0.00123645
F_1917,0.00595673,0.00189881
F_1918,0.0086136,0.00275697
F_1919,0.00315952,0.0010186
F_1920,0.00273764,0.000884569
F_1921,0.0036973,0.00119515
F_1922,0.00252721,0.00081722
F_1923,0.00458229,0.00148188
F_1924,0.0059451,0.00192627
F_1925,0.00689178,0.00223872
F_1926,0.0056319,0.00183529
F_1927,0.00850984,0.00277796
F_1928,0.00724564,0.0023758
F_1929,0.00800458,0.00264346
F_1930,0.00907005,0.00302139
F_1931,0.00510096,0.00171411
F_1932,0.00611146,0.00206231
F_1933,0.00576413,0.00195589
F_1934,0.0101485,0.00346027
F_1935,0.0132884,0.00456963
F_1936,0.00943521,0.00327763
F_1937,0.0103281,0.00361166
F_1938,0.0103322,0.00363746
F_1939,0.0116238,0.00413773
F_1940,0.00946519,0.00339131
F_1941,0.00952178,0.00342424
F_1942,0.0142058,0.00515296
F_1943,0.0175272,0.00643835
F_1944,0.0204346,0.007609
F_1945,0.0206757,0.007804
F_1946,0.0214497,0.00820897
F_1947,0.0114592,0.00446313
F_1948,0.0149715,0.00587241
F_1949,0.015923,0.00629352
F_1950,0.0145351,0.00578416
F_1951,0.0241562,0.00967668
F_1952,0.0152832,0.00618577
F_1953,0.0096988,0.00394673
F_1954,0.0135802,0.00552226
F_1955,0.0127792,0.00520089
F_1956,0.0209179,0.00887667
F_1957,0.014906,0.00620346
F_1958,0.00906545,0.00380825
F_1959,0.0124108,0.00525923
F_1960,0.0155906,0.00671365
F_1961,0.00952101,0.00409802
F_1962,0.0137511,0.00587836
F_1963,0.00892288,0.00381396
F_1964,0.00976482,0.00411503
F_1965,0.0090228,0.00375096
F_1966,0.00845548,0.00349849
F_1967,0.0224741,0.00997165
F_1968,0.0127762,0.00546166
F_1969,0.0220709,0.00915748
F_1970,0.0108443,0.0034001
F_1971,0.00868484,0.00266019
F_1972,0.0141601,0.00421747
F_1973,0.012355,0.00364016
F_1974,0.0184771,0.00535135
F_1975,0.0313482,0.00900724
F_1976,0.0555153,0.0160496
F_1977,0.022073,0.00670319
F_1978,0.0316588,0.00954086
F_1979,0.0621811,0.0187101
F_1980,0.0257676,0.00779219
F_1981,0.032767,0.00982689
F_1982,0.0564278,0.0169508
F_1983,0.0413766,0.0118279
F_1984,0.0405807,0.0116546
F_1985,0.0421487,0.0120666
F_1986,0.0417642,0.0120816
F_1987,0.0434836,0.0127579
F_1988,0.0368838,0.0107855
F_1989,0.0357844,0.0104047
F_1990,0.0325091,0.00943428
F_1991,0.0366886,0.0107558
F_1992,0.0370346,0.010798
F_1993,0.0326191,0.00947416
F_1994,0.0287222,0.0081478
F_1995,0.0316774,0.00901704
F_1996,0.0360365,0.0103244
F_1997,0.0368222,0.0106174
F_1998,0.02073,0.00599156
F_1999,0.0300887,0.00847947
F_2000,0.0308055,0.00874901
F_2001,0.0339696,0.00972558
F_2002,0.0234915,0.00673168
F_2003,0.0287734,0.00818254
F_2004,0.0245155,0.00679185
F_2005,0.0245491,0.00676996
F_2006,0.023962,0.0066123
F_2007,0.0213749,0.00592145
F_2008,0.0243635,0.00675399
F_2009,0.0321676,0.00898808
F_2010,0.0327575,0.0092832
F_2011,0.0316251,0.0090703
F_2012,0.0240422,0.00684758
F_2013,0.0191978,0.00549242
F_2014,0.0199865,0.0056869
F_2015,0.0243055,0.00691191
F_2016,0.0269717,0.00771418
F_2017,0.0249791,0.00711113
F_2018,0.0243026,0.00694766
F_2019,0.0243915,0.00697431
F_2020,0.014874,0.00420679
F_2021,0.0278745,0.00784225
F_2022,0.026981,0.00767638
F_2023,0.0426939,0.00347427
F_2024,0.0403223,0.00393074
F_2025,0.0387297,0.00516383
F_2026,0.0379783,0.0062044
F_2027,0.03781,0.00713109
F_2028,0.037978,0.00806834
F_2029,0.0381979,0.00898879
F_2030,0.0383072,0.00982875
F_2031,0.0383645,0.0105837
F_2032,0.0383462,0.0112465
Bratio_1891,0.968998,0.227939
Bratio_1892,0.966928,0.227759
Bratio_1893,0.964757,0.227571
Bratio_1894,0.962446,0.227545
Bratio_1895,0.959992,0.227669
Bratio_1896,0.957394,0.22784
Bratio_1897,0.954666,0.227975
Bratio_1898,0.951814,0.228026
Bratio_1899,0.948837,0.227969
Bratio_1900,0.945735,0.227793
Bratio_1901,0.942422,0.227497
Bratio_1902,0.938888,0.227084
Bratio_1903,0.935131,0.226557
Bratio_1904,0.931148,0.225922
Bratio_1905,0.926937,0.225182
Bratio_1906,0.922653,0.224342
Bratio_1907,0.918244,0.223407
Bratio_1908,0.913671,0.222381
Bratio_1909,0.909154,0.221266
Bratio_1910,0.904291,0.220069
Bratio_1911,0.899074,0.218795
Bratio_1912,0.893501,0.217444
Bratio_1913,0.887576,0.216019
Bratio_1914,0.881306,0.214521
Bratio_1915,0.874701,0.212952
Bratio_1916,0.867771,0.211314
Bratio_1917,0.857798,0.20964
Bratio_1918,0.845719,0.207913
Bratio_1919,0.830324,0.206173
Bratio_1920,0.821349,0.204285
Bratio_1921,0.813228,0.202304
Bratio_1922,0.804193,0.200276
Bratio_1923,0.796097,0.198193
Bratio_1924,0.785849,0.196075
Bratio_1925,0.774323,0.193916
Bratio_1926,0.761727,0.191727
Bratio_1927,0.750339,0.189472
Bratio_1928,0.736224,0.187157
Bratio_1929,0.722841,0.184598
Bratio_1930,0.708472,0.18171
Bratio_1931,0.692651,0.178532
Bratio_1932,0.680477,0.174984
Bratio_1933,0.667555,0.171297
Bratio_1934,0.655614,0.167574
Bratio_1935,0.64032,0.164029
Bratio_1936,0.622772,0.160623
Bratio_1937,0.608192,0.157133
Bratio_1938,0.593692,0.153772
Bratio_1939,0.580718,0.150777
Bratio_1940,0.567042,0.148137
Bratio_1941,0.55556,0.145347
Bratio_1942,0.546019,0.142751
Bratio_1943,0.53512,0.140975
Bratio_1944,0.524001,0.1397
Bratio_1945,0.511519,0.138438
Bratio_1946,0.497836,0.13692
Bratio_1947,0.482,0.135333
Bratio_1948,0.472397,0.133233
Bratio_1949,0.462702,0.131301
Bratio_1950,0.453563,0.129537
Bratio_1951,0.446287,0.127701
Bratio_1952,0.435418,0.126255
Bratio_1953,0.430247,0.124686
Bratio_1954,0.429681,0.123376
Bratio_1955,0.429544,0.122888
Bratio_1956,0.432053,0.123352
Bratio_1957,0.433545,0.124877
Bratio_1958,0.438212,0.126654
Bratio_1959,0.451251,0.12957
Bratio_1960,0.466301,0.13544
Bratio_1961,0.481298,0.142334
Bratio_1962,0.500992,0.147344
Bratio_1963,0.521924,0.15086
Bratio_1964,0.543918,0.155639
Bratio_1965,0.565205,0.158673
Bratio_1966,0.58792,0.159806
Bratio_1967,0.610504,0.162299
Bratio_1968,0.626506,0.167161
Bratio_1969,0.69825,0.173616
Bratio_1970,0.866791,0.18433
Bratio_1971,1.04355,0.20568
Bratio_1972,1.16239,0.221956
Bratio_1973,1.21574,0.22726
Bratio_1974,1.23331,0.223039
Bratio_1975,1.21327,0.214201
Bratio_1976,1.15911,0.203489
Bratio_1977,1.06476,0.194193
Bratio_1978,1.02779,0.183069
Bratio_1979,0.988664,0.174186
Bratio_1980,0.923664,0.168936
Bratio_1981,0.904031,0.16188
Bratio_1982,0.88261,0.155864
Bratio_1983,0.858552,0.151316
Bratio_1984,0.843114,0.146787
Bratio_1985,0.822183,0.141984
Bratio_1986,0.787766,0.136909
Bratio_1987,0.748619,0.131444
Bratio_1988,0.716986,0.126842
Bratio_1989,0.69813,0.122939
Bratio_1990,0.679386,0.119041
Bratio_1991,0.657176,0.11451
Bratio_1992,0.632794,0.11023
Bratio_1993,0.615107,0.106523
Bratio_1994,0.608481,0.103454
Bratio_1995,0.596175,0.100111
Bratio_1996,0.572924,0.0962242
Bratio_1997,0.542526,0.0921223
Bratio_1998,0.516978,0.0884454
Bratio_1999,0.508642,0.0849139
Bratio_2000,0.489158,0.0817841
Bratio_2001,0.461981,0.0781846
Bratio_2002,0.43881,0.0748673
Bratio_2003,0.446547,0.0744167
Bratio_2004,0.488468,0.0792984
Bratio_2005,0.535881,0.0853452
Bratio_2006,0.563803,0.0893029
Bratio_2007,0.569558,0.0904779
Bratio_2008,0.561444,0.0893959
Bratio_2009,0.539108,0.0868641
Bratio_2010,0.503992,0.0836569
Bratio_2011,0.475804,0.0811699
Bratio_2012,0.469122,0.0812132
Bratio_2013,0.471384,0.0816942
Bratio_2014,0.474836,0.081853
Bratio_2015,0.471805,0.0813252
Bratio_2016,0.465629,0.081023
Bratio_2017,0.469736,0.0823538
Bratio_2018,0.477792,0.0840876
Bratio_2019,0.496966,0.0875069
Bratio_2020,0.537418,0.0939872
Bratio_2021,0.579137,0.0997747
Bratio_2022,0.591896,0.103529
Bratio_2023,0.588896,0.104588
Bratio_2024,0.568135,0.09762
Bratio_2025,0.551077,0.0952933
Bratio_2026,0.538415,0.099687
Bratio_2027,0.528738,0.10867
Bratio_2028,0.520748,0.119497
Bratio_2029,0.513657,0.130483
Bratio_2030,0.507147,0.140871
Bratio_2031,0.501165,0.150401
Bratio_2032,0.495679,0.159026
ForeCatch_2021,7405,5.31E-06
ForeCatch_2022,7055,0.000160127
ForeCatch_2023,10824.6,3626.54
ForeCatch_2024,9922.92,3436.55
ForeCatch_2025,9371.67,3219.93
ForeCatch_2026,9070.09,3065.47
ForeCatch_2027,8933.73,2939.17
ForeCatch_2028,8888.27,2843.05
ForeCatch_2029,8860.17,2766.65
ForeCatch_2030,8810.38,2698.98
ForeCatch_2031,8753.33,2641.97
ForeCatch_2032,8683.95,2590.94
OFLCatch_2021,13117,4234.45
OFLCatch_2022,12515.2,4089.86
OFLCatch_2023,11577.1,3878.65
OFLCatch_2024,10669.8,3695.22
OFLCatch_2025,10120.6,3477.24
OFLCatch_2026,9837.41,3324.81
OFLCatch_2027,9742.34,3205.2
OFLCatch_2028,9735.24,3113.97
OFLCatch_2029,9747.17,3043.62
OFLCatch_2030,9746,2985.6
OFLCatch_2031,9725.92,2935.52
OFLCatch_2032,9691.91,2891.67
ForeCatchret_2021,7184.11,35.0784
ForeCatchret_2022,6843.62,41.8465
ForeCatchret_2023,10496.8,3516.24
ForeCatchret_2024,9616.52,3327.76
ForeCatchret_2025,9077.35,3117.93
ForeCatchret_2026,8782.32,2967.82
ForeCatchret_2027,8648.78,2844.6
ForeCatchret_2028,8604.1,2750.55
ForeCatchret_2029,8576.54,2675.76
ForeCatchret_2030,8528.06,2609.62
ForeCatchret_2031,8472.54,2553.95
ForeCatchret_2032,8405.07,2504.17
Early_RecrDev_1890,-0.077435,1.35012
Early_RecrDev_1891,-0.0816191,1.34759
Early_RecrDev_1892,-0.0859976,1.34496
Early_RecrDev_1893,-0.0905757,1.34222
Early_RecrDev_1894,-0.0953601,1.33936
Early_RecrDev_1895,-0.10036,1.33639
Early_RecrDev_1896,-0.10559,1.33331
Early_RecrDev_1897,-0.111069,1.3301
Early_RecrDev_1898,-0.116816,1.32677
Early_RecrDev_1899,-0.122849,1.32332
Early_RecrDev_1900,-0.129182,1.31974
Early_RecrDev_1901,-0.135815,1.31604
Early_RecrDev_1902,-0.142736,1.31221
Early_RecrDev_1903,-0.149935,1.30824
Early_RecrDev_1904,-0.157401,1.30415
Early_RecrDev_1905,-0.165152,1.29992
Early_RecrDev_1906,-0.173232,1.29557
Early_RecrDev_1907,-0.181667,1.2911
Early_RecrDev_1908,-0.190442,1.28653
Early_RecrDev_1909,-0.199497,1.28185
Early_RecrDev_1910,-0.208741,1.27709
Early_RecrDev_1911,-0.218139,1.27224
Early_RecrDev_1912,-0.22787,1.26727
Early_RecrDev_1913,-0.238159,1.26213
Early_RecrDev_1914,-0.24911,1.25681
Early_RecrDev_1915,-0.260404,1.25139
Early_RecrDev_1916,-0.27166,1.24599
Early_RecrDev_1917,-0.283315,1.24041
Early_RecrDev_1918,-0.294784,1.23492
Early_RecrDev_1919,-0.306409,1.2295
Early_RecrDev_1920,-0.318946,1.22376
Early_RecrDev_1921,-0.331952,1.21784
Early_RecrDev_1922,-0.344659,1.21209
Early_RecrDev_1923,-0.358059,1.20621
Early_RecrDev_1924,-0.371921,1.20017
Main_RecrDev_1925,-0.486151,1.18266
Main_RecrDev_1926,-0.469964,1.19007
