Label,Value,StdDev
SSB_1890,163972,49479.2
SSB_1891,163640,49452.6
SSB_1892,163290,49410.2
SSB_1893,162923,49364.7
SSB_1894,162533,49338
SSB_1895,162119,49328.6
SSB_1896,161680,49322.9
SSB_1897,161219,49310
SSB_1898,160738,49283.4
SSB_1899,160235,49239.9
SSB_1900,159711,49178
SSB_1901,159152,49097.3
SSB_1902,158555,48997.9
SSB_1903,157920,48880.2
SSB_1904,157248,48744.5
SSB_1905,156537,48591.5
SSB_1906,155813,48421.3
SSB_1907,155069,48234.6
SSB_1908,154296,48031.6
SSB_1909,153534,47812.7
SSB_1910,152712,47578.4
SSB_1911,151831,47328.8
SSB_1912,150890,47064
SSB_1913,149890,46784.1
SSB_1914,148831,46489.2
SSB_1915,147715,46179.5
SSB_1916,146545,45855.1
SSB_1917,144861,45517.9
SSB_1918,142821,45166.8
SSB_1919,140221,44802.8
SSB_1920,138705,44422.1
SSB_1921,137334,44026.6
SSB_1922,135808,43618.7
SSB_1923,134441,43198.3
SSB_1924,132710,42765
SSB_1925,130764,42319
SSB_1926,128637,41861.4
SSB_1927,126714,41391.8
SSB_1928,124330,40922.1
SSB_1929,122070,40472.3
SSB_1930,119643,40034.4
SSB_1931,116972,39581.7
SSB_1932,114916,39099.3
SSB_1933,112733,38603.5
SSB_1934,110717,38111.1
SSB_1935,108134,37616.9
SSB_1936,105171,37103.5
SSB_1937,102708,36569.2
SSB_1938,100260,36054.6
SSB_1939,98068.9,35617
SSB_1940,95759.2,35189.1
SSB_1941,93820.3,34734.6
SSB_1942,92209,34352.8
SSB_1943,90368.4,34093
SSB_1944,88490.8,33881.4
SSB_1945,86382.8,33610.3
SSB_1946,84072.2,33247
SSB_1947,81397.8,32821.9
SSB_1948,79776.1,32396.4
SSB_1949,78138.8,32000.4
SSB_1950,76595.5,31626.7
SSB_1951,75366.8,31258.3
SSB_1952,73531.2,30889.7
SSB_1953,72658,30596.5
SSB_1954,72562.4,30425
SSB_1955,72539.4,30394.3
SSB_1956,72962.9,30549.7
SSB_1957,73214.9,30828.1
SSB_1958,74003.2,31212.3
SSB_1959,76205.1,31911.2
SSB_1960,78746.6,33034.7
SSB_1961,81279.2,34306.7
SSB_1962,84605,35435.8
SSB_1963,88139.9,36438.1
SSB_1964,91854.2,37612.7
SSB_1965,95449,38635.5
SSB_1966,99285.2,39568
SSB_1967,103099,40762.6
SSB_1968,105801,42321.4
SSB_1969,117917,45016.2
SSB_1970,146379,49690.6
SSB_1971,176229,55092.9
SSB_1972,196299,58698.1
