"year","RecDev","DF1","DF2","DF3","DF4","DF5","lCI1","lCI2","lCI3","lCI4","lCI5","uCI1","uCI2","uCI3","uCI4","uCI5"
1975,0.225473,-1.07144542697905,-0.387997018183333,-0.136070891129508,0.0242364025857134,0.220985808968853,-1.3635077669512,-1.56250382735843,-2.36736998604936,-1.96058316388261,-2.23401246856524,-0.80589985001116,1.41577676919324,2.03653329843575,1.93804872867759,2.38765874068615
1976,0.717573,-0.444282783335956,0.112104999768681,-0.326317617091352,-0.279228543122582,0.141488896810886,-0.660046879823827,-1.49248366096643,-2.97988130892869,-2.6320731160729,-2.59749329095141,-0.229946074178491,1.75271262958554,2.60770102062422,2.33081061738673,2.77592729591287
1977,0.0321373,-0.523598250618748,-0.532931512327671,-0.419395169079863,-0.250493072451157,0.220478855341109,-0.770902448360737,-1.65563358857333,-3.08662292703356,-2.39954062316648,-2.58335501748878,-0.266395125938101,1.59743476426908,2.56213835650908,2.35604919933787,2.7188389527652
1978,-0.164321,0.048687591819819,-0.265373522606415,-0.423008175409176,-0.0687577655822044,0.124140875479536,-0.151001272567169,-1.43095682968184,-3.25129218377948,-2.59374490524146,-2.76656404664973,0.267102278463431,1.68807249372029,2.8298091297643,2.47211584954987,2.75687937463568
1979,1.96059,-0.608008703141585,-0.0836309390957839,-0.224661855931231,0.158789632283116,-0.120163296055447,-0.821470073986629,-1.45345425995599,-2.52972879301438,-1.99562286132389,-2.41222060297334,-0.410404863813939,1.32718468249831,2.2301548417464,2.491086349019,2.26529598537117
1980,0.487899,0.172226171086514,-0.0208969024600573,-0.386981996434174,0.153569939515934,-0.0999392833012433,-0.0306863996565604,-1.77062842860575,-3.1262763508947,-2.48074399559314,-3.0462780959702,0.379764274373929,1.78135124688621,2.74056559309973,2.83829969163634,2.89775192200495
1981,1.11814,-0.246881414318597,0.275728783915047,-0.581193677557081,-0.312741978102948,-0.0782687876392925,-0.466496859714211,-1.52694072951423,-3.61301856042111,-2.96852451307973,-3.21921928219792,-0.0293276546772668,2.09227428216281,3.16364635416393,2.90609647560841,3.33215784185327
1982,0.625039,-0.106499043791388,0.14351168735145,-0.389658619557208,0.135530987173236,0.325034246466234,-0.338519218239741,-1.92238802219675,-3.97018491276414,-3.45354228541204,-3.54041402899241,0.117957916675649,2.62682354582297,3.43857691274019,3.10160705777393,3.76893583333515
1983,-0.447687,0.131235091517337,1.24732905205468,-0.324584474057257,0.384823190443628,0.039683140761589,-0.306304642810548,-2.5319486756417,-4.2348213974277,-3.41486848030675,-3.74926781961143,0.535948627216669,2.85792067533146,3.61776288448744,3.36746567577831,3.86356439664127
1984,1.36023,0.0676615926642392,0.477569507123183,-0.622870391690259,-0.099313834081638,-0.192209311660208,-0.192666423455691,-2.06131646303004,-4.06105277368834,-3.30598763546226,-3.7103401352052,0.339408604693831,2.3877783206181,3.49630485718178,3.27321562809944,3.7623648626747
1985,1.29144,-0.461837183869326,-0.0429867593802283,-0.497656611022933,0.0639335937210282,0.0750590885696515,-0.656543871526098,-1.81361720273054,-3.95801815285787,-3.15733664442716,-3.54611233068744,-0.284773865556807,2.2946183769633,3.31926003956128,3.13722048158051,3.50127801888031
1986,0.911224,-0.251559168114357,-0.052670678054446,-0.572882886190688,0.0426251525480309,0.111349818991435,-0.433543683091475,-1.98603754633782,-4.29919709105725,-3.35932115072104,-3.77673205605042,-0.0814130059134167,2.6487590252674,3.68676540349364,3.35384698365086,3.8699806371482
1987,-0.620466,-0.565217815314138,0.289671347637794,-0.619142498121303,0.158232835523426,0.0878441589151126,-0.785075603161357,-2.2187448046403,-4.79347216495183,-3.91347993640502,-4.27762552874317,-0.373968521665752,3.06040497852069,4.15059149095544,3.93096086205089,4.39555231735825
1988,1.05855,0.387741828331636,-0.41867250364856,-0.787342774888704,0.0666681431446408,0.164735454470323,0.14680108574787,-2.61493143312714,-5.07461388277141,-4.28697904394563,-4.62516493577163,0.638605922640641,3.46250693741263,4.4752081935369,4.38841574275778,4.71512077805297
1989,0.612262,-0.0766758270248491,-0.163667916602981,-0.673423709939899,0.276305415638362,0.155371840233249,-0.284086255744991,-2.616391679072,-4.99593186643744,-4.03477073231355,-4.52875144764647,0.129605041943861,3.136593687784,4.2930649975724,4.28998075430686,4.55970217173119
1990,1.67455,-0.0832418468282342,0.0799636426897644,-0.593287694177813,0.0539952068480665,0.104090732326542,-0.265237228985956,-2.24919302490535,-4.41071895903433,-3.59654179629067,-3.88704206030717,0.0980182382004548,2.75367736849404,3.82870765594942,3.45068271670701,3.97883649086032
1991,-1.49523,-0.65330655525584,-0.365494030601813,-0.576995339420553,-0.366714795154558,0.179826182891579,-0.907536731479118,-1.69351882174802,-3.6777568326544,-3.06166109375737,-3.18164608164803,-0.403777529316698,2.30317318094224,3.23536568855894,2.91122908584118,3.30059137997405
1992,0.180906,0.155470864455522,0.666038151765298,-0.119751807350553,0.269410212519787,0.128926540636396,-0.146333706112486,-1.74426773397307,-2.78522870152793,-2.22266331602701,-2.26234981629952,0.449687566811581,1.93499825907636,2.32111546458749,2.0835724238662,2.37537687257493
1993,-0.472398,2.18109290979423,0.228137801128011,0.0224423881519244,-0.0204154721212983,-0.0575629138381628,1.81466379531209,-1.10555792788165,-1.6726931205245,-1.63337370993884,-1.66707788998077,2.57254566801123,1.0794957606744,1.62374847616667,1.35221421322318,1.7034054668877
1994,0.46743,0.204512817493867,-0.308030498225704,0.01028277205468,-0.182137642763476,-0.0138206543102039,0.0154842758431498,-1.01731157480362,-1.54491538712781,-1.58372769535439,-1.67607338117892,0.406891393048397,0.787194995101771,1.7460795813379,1.39825855792084,1.6333702696706
1995,1.37678,0.294538559604914,-0.443346343271659,0.154814155484687,-0.0777256342530216,0.104744996337396,0.0748247703730102,-1.53248952646696,-1.75858920409412,-1.90377014221227,-1.99166329093728,0.520985576275763,1.27687544403556,2.02759234498187,1.61744273750224,1.89398746616717
1996,-2.159,0.460992921006598,-0.294310931824804,0.0379577536919367,-0.275864925806802,0.0487315654712966,0.273760692190829,-1.03625837419237,-1.58515787960154,-1.79554649075824,-1.67295354957327,0.663362505620591,0.851340297104757,1.75264211986953,1.36743946707669,1.72197717556808
1997,-2.41268,0.909084850966132,0.438171993305827,0.0938424560603146,-0.277057626120718,-0.174152524657104,0.648247333773522,-1.53684134064301,-1.61433759620794,-1.83637267706087,-1.78317979833405,1.19169088327196,1.75061362681388,1.85100140722396,1.5678922961608,1.75210095893814
1998,-0.0159097,0.368014531436056,-0.0898764378946122,0.301325691331366,0.296235342485364,0.118019898556507,0.161050130942101,-1.36242948711033,-1.50016851658085,-1.57842753473813,-1.60531358871181,0.585550628947716,1.43021264787215,1.87230653265435,1.63996461549667,1.58130290769946
