"year","site","ssh","st_dev"
1912,"Seattle",-0.00766666666666667,0.0150111069989303
1913,"SanDiego",-0.00566666666666667,0.0197568553503166
1913,"SanFrancisco",-0.011,0.0115325625946708
1913,"Seattle",0.0126666666666667,0.0389914520546919
1914,"SanDiego",0.004,0.0122882057274445
1914,"SanFrancisco",0.061,0.0295127091267474
1914,"Seattle",0.0513333333333333,0.0185831464863551
1915,"SanDiego",0.033,0.0325115364140177
1915,"SanFrancisco",0.0416666666666667,0.0571780843797108
1915,"Seattle",0.0713333333333333,0.0710656973042081
1916,"SanDiego",-0.00666666666666667,0.0416213086451319
1916,"SanFrancisco",-0.0343333333333333,0.0300721354967241
1916,"Seattle",0.026,0.0157162336455017
1917,"SanDiego",-0.0133333333333333,0.029022979401387
1917,"SanFrancisco",-0.0393333333333333,0.00702376916856849
1917,"Seattle",-0.018,0.037
1918,"SanDiego",0.0666666666666667,0.0276103845198384
1918,"SanFrancisco",0.045,0.0257099202643649
1918,"Seattle",0.0266666666666667,0.00838649708360608
1919,"SanDiego",0.00266666666666667,0.0145716619962629
1919,"SanFrancisco",0.0186666666666667,0.0241108550933668
1919,"Seattle",0.0266666666666667,0.0317700068198503
1920,"SanDiego",0.00666666666666667,0.0178978583448784
1920,"SanFrancisco",-0.02,0.0264575131106459
1920,"Seattle",-0.0586666666666667,0.0265769323537035
1921,"SanDiego",-0.0166666666666667,0.0172143351115671
1921,"SanFrancisco",-0.019,0.0347706773014274
1921,"Seattle",-0.0213333333333333,0.0450592202921148
1922,"SanDiego",-0.01,0.0202977831301844
1922,"SanFrancisco",-0.024,0.0710844568101916
1922,"Seattle",-0.0646666666666667,0.0594754851458425
1923,"SanDiego",0.016,0.0157162336455017
1923,"SanFrancisco",-0.0133333333333333,0.0393742724800514
1923,"Seattle",-0.003,0.0275136329843952
1924,"LosAngeles",-0.0123333333333333,0.0146401275039985
1924,"SanDiego",-0.004,0.0112694276695846
1924,"SanFrancisco",-0.0406666666666667,0.0160727512683216
1924,"Seattle",-0.079,0.0283548937575156
1925,"Astoria",0.0746666666666667,0.031785741037977
1925,"LaJolla",-0.00633333333333333,0.03685557397916
1925,"LosAngeles",0.003,0.0285832118559129
1925,"SanDiego",0.00166666666666667,0.0352751092604025
1925,"SanFrancisco",0.0263333333333333,0.0253245598842968
1925,"Seattle",0.00333333333333333,0.0211266025033211
1926,"Astoria",-0.0393333333333333,0.0931146247016726
1926,"LaJolla",0.039,0.0124899959967968
1926,"LosAngeles",0.005,0.0336452076825214
1926,"SanFrancisco",0.008,0.0545252235208623
1926,"Seattle",-0.009,0.0502394267483219
1927,"Astoria",0.0573333333333333,0.090046284394934
1927,"LaJolla",-0.0166666666666667,0.024704925284917
1927,"LosAngeles",-0.006,0.0157162336455017
1927,"SanDiego",-0.009,0.0194679223339318
1927,"SanFrancisco",-0.0236666666666667,0.0360185137579736
1927,"Seattle",-0.012,0.024576411454889
1928,"Astoria",0.097,0.0245560583156174
1928,"LaJolla",0.00266666666666667,0.011060440015358
1928,"LosAngeles",0.002,0.014422205101856
1928,"SanDiego",-0.009,0.0104403065089106
1928,"SanFrancisco",-0.0103333333333333,0.0153079500042734
1928,"Seattle",0.0163333333333333,0.0440605643782888
1929,"Astoria",-0.0166666666666667,0.0965004317779632
1929,"LaJolla",0.0426666666666667,0.0313421973277773
1929,"LosAngeles",0.01,0.00793725393319377
1929,"SanDiego",0.0406666666666667,0.0308274769213008
1929,"SanFrancisco",-0.0296666666666667,0.0156950098226581
1929,"Seattle",-0.005,0.0639765582068933
1930,"Astoria",-0.00133333333333333,0.0167729941672122
1930,"LaJolla",0.00466666666666667,0.0253245598842968
1930,"LosAngeles",0.0283333333333333,0.0263122278291545
1930,"SanDiego",0.004,0.0176918060129541
1930,"SanFrancisco",0.003,0.0160934769394311
1930,"Seattle",0.00933333333333333,0.0360878557597058
1931,"Astoria",-0.00166666666666667,0.0425245027405769
1931,"LaJolla",0.029,0.0330454232837166
1931,"LosAngeles",0.0306666666666667,0.0266333124739176
1931,"SanDiego",0.0273333333333333,0.0213853532431273
1931,"SanFrancisco",0.007,0.0149331845230681
1931,"Seattle",0.00133333333333333,0.0254230866208911
1932,"Astoria",0.109,0.0521152568831815
1932,"LaJolla",0.0186666666666667,0.0360878557597058
1932,"LosAngeles",0.018,0.0363868107973205
1932,"SanDiego",0.0216666666666667,0.0379780638439262
1932,"SanFrancisco",0.0253333333333333,0.01955334583475
1932,"Seattle",0.0416666666666667,0.0735141709695031
1933,"Astoria",0.0623333333333333,0.148937347006496
1933,"CrescentCity",-0.034,0.013
1933,"LaJolla",-0.042,0.0330454232837166
1933,"LosAngeles",-0.0506666666666667,0.0355715241918776
1933,"SanDiego",-0.0416666666666667,0.0345301800362137
1933,"SanFrancisco",-0.0403333333333333,0.032316146634977
1933,"SantaMonica",-0.079,0.0216564078277077
1933,"Seattle",-0.00733333333333333,0.0625646332470137
1934,"Astoria",0.0736666666666667,0.0782581199194904
1934,"CrescentCity",0.00533333333333333,0.0319739477283199
1934,"FridayHarbor",0.0326666666666667,0.0472581562625261
1934,"LaJolla",0.00666666666666667,0.0221885856541902
1934,"LosAngeles",0.0123333333333333,0.022300971578237
1934,"SanDiego",0.00833333333333333,0.0274286954362276
1934,"SanFrancisco",-0.00166666666666667,0.00709459888459759
1934,"SantaMonica",-0.005,0.026153393661244
1934,"Seattle",0.00266666666666667,0.0440719109335338
1935,"Astoria",-0.00966666666666667,0.0708684226812854
1935,"CrescentCity",-0.0113333333333333,0.049812983581927
1935,"FridayHarbor",-0.00833333333333333,0.031785741037977
1935,"LaJolla",-0.00833333333333333,0.0255016339345802
1935,"LosAngeles",-0.014,0.019672315572906
1935,"NeahBay",-0.052,0.0390512483795333
1935,"SanDiego",-2.89120579329468e-19,0.0157162336455017
1935,"SanFrancisco",0.035,0.0223383079036887
1935,"SantaMonica",-0.013,0.023388031127053
1935,"Seattle",-0.04,0.031
1936,"Astoria",0.0993333333333333,0.144507208586054
1936,"CrescentCity",0.0413333333333333,0.0592818128377779
1936,"FridayHarbor",0.027,0.0872295821381715
1936,"LaJolla",-0.024,0.019313207915828
1936,"LosAngeles",0.0103333333333333,0.0188767935130237
1936,"NeahBay",0.035,0.108683025353548
1936,"SanDiego",-0.0336666666666667,0.0217332310836041
1936,"SanFrancisco",-0.005,0.0255147016443461
1936,"SantaMonica",-0.0313333333333333,0.024704925284917
1936,"Seattle",0.00766666666666666,0.0817455401433823
1937,"Astoria",0.0583333333333333,0.0450814078455114
1937,"CrescentCity",0.00366666666666667,0.0542248405560895
1937,"FridayHarbor",0.022,0.0160934769394311
1937,"LaJolla",2.88697062855841e-19,0.020952326839757
1937,"LosAngeles",0.0193333333333333,0.0300222139978605
1937,"NeahBay",0.0513333333333333,0.0233523731841827
1937,"SanDiego",0.000333333333333334,0.028360771028541
1937,"SanFrancisco",-0.00666666666666667,0.0313900196453161
1937,"SantaMonica",-0.00933333333333333,0.0265015722804013
1937,"Seattle",0.02,0.0185202591774521
1938,"Astoria",0.017,0.0155884572681199
1938,"CrescentCity",-0.00966666666666667,0.0266333124739176
1938,"FridayHarbor",-0.0493333333333333,0.0229419557434264
1938,"LaJolla",-0.0193333333333333,0.00251661147842358
1938,"LosAngeles",0.00366666666666667,0.00602771377334171
1938,"NeahBay",-0.074,0.0482182538049648
1938,"SanDiego",-0.014,0.00360555127546399
1938,"SanFrancisco",0.0276666666666667,0.0195021366350801
1938,"SantaMonica",-0.000666666666666667,0.00450924975282289
1938,"Seattle",-0.0356666666666667,0.0205507501890645
1939,"Alameda",-0.0406666666666667,0.0102632028788938
1939,"Astoria",-0.042,0.0640234332100365
1939,"CrescentCity",-0.0283333333333333,0.0395769293065207
1939,"FridayHarbor",-0.0386666666666667,0.0447697814751572
1939,"LaJolla",0.00466666666666667,0.00416333199893227
1939,"LosAngeles",0.000666666666666666,0.00907377172587747
1939,"NeahBay",-0.0596666666666667,0.0493997300937296
1939,"SanDiego",-0.012,0.00556776436283002
1939,"SanFrancisco",-0.0523333333333333,0.0055075705472861
1939,"SantaMonica",-0.016,0.0113578166916005
1939,"Seattle",-0.051,0.0453982378512647
1940,"Alameda",0.0423333333333333,0.0170391705588427
1940,"Astoria",-0.025,0.0512152321092075
1940,"CrescentCity",-0.00333333333333333,0.0253245598842968
1940,"FridayHarbor",0.00833333333333333,0.0378725934328946
1940,"LaJolla",0.005,0.0345108678534748
1940,"LosAngeles",0.005,0.0141067359796659
1940,"NeahBay",-0.0246666666666667,0.0500033332222296
1940,"SanDiego",-0.00966666666666667,0.00611010092660779
1940,"SanFrancisco",0.0146666666666667,0.011060440015358
1940,"SantaMonica",-0.004,0.0199749843554382
1940,"Seattle",-0.0143333333333333,0.0335310801098523
1941,"Alameda",0.0806666666666667,0.066108496680331
1941,"Astoria",0.0196666666666667,0.048294237061303
1941,"CrescentCity",0.0776666666666667,0.0457638867813185
1941,"FridayHarbor",0.049,0.0379868398264452
1941,"LaJolla",0.0143333333333333,0.0268390263112009
1941,"LosAngeles",0.0363333333333333,0.042193996413392
1941,"NeahBay",0.0473333333333333,0.0392470805708314
1941,"SanDiego",0.032,0.0428835632847831
1941,"SanFrancisco",0.0543333333333333,0.0645161478494596
1941,"SantaMonica",0.0486666666666667,0.0359212100761282
1941,"Seattle",0.038,0.0406324993078201
1942,"Alameda",0.035,0.0681469001496033
1942,"Astoria",0.0646666666666667,0.0280237994093116
1942,"CrescentCity",0.0276666666666667,0.0625246618010312
1942,"FridayHarbor",0.0323333333333333,0.0635321440952006
1942,"LaJolla",0.007,0.0285131548587665
1942,"LosAngeles",0.0486666666666667,0.0310859024854247
1942,"NeahBay",0.047,0.0632139225171164
1942,"SanDiego",0.0613333333333333,0.0346458270695525
1942,"SanFrancisco",0.0163333333333333,0.0745676426698158
1942,"SantaMonica",0.0146666666666667,0.0396274315762873
1942,"Seattle",0.0323333333333333,0.0570116947067295
1943,"Alameda",0.0216666666666667,0.0102143689640297
1943,"Astoria",0.0766666666666667,0.101263682203114
1943,"CrescentCity",-0.000999999999999999,0.0641170804076418
1943,"FridayHarbor",-0.0123333333333333,0.102441853425899
1943,"LaJolla",-0.005,0.0242693221990232
1943,"LosAngeles",0.0483333333333333,0.0261023626006025
1943,"NeahBay",0.00533333333333333,0.0805253583247745
1943,"SanDiego",0.0226666666666667,0.027646579052992
1943,"SanFrancisco",0.006,0.01113552872566
1943,"SantaMonica",0.0303333333333333,0.0227449628123093
1943,"Seattle",0.000666666666666666,0.0500832640043891
1944,"Alameda",-0.025,0.0278747197295327
1944,"Astoria",-0.0726666666666667,0.0323934149686836
1944,"CrescentCity",0.006,0.0256320112359526
1944,"FridayHarbor",0.000333333333333334,0.0185022521151706
1944,"LaJolla",-0.0226666666666667,0.0521664004253057
1944,"LosAngeles",0.00666666666666667,0.00251661147842358
1944,"NeahBay",-0.013,0.030347981810987
1944,"SanDiego",-0.0236666666666667,0.0160727512683216
1944,"SanFrancisco",-0.0123333333333333,0.0245831920899897
1944,"SantaMonica",-0.00166666666666667,0.0150111069989303
1944,"Seattle",-0.031,0.0160934769394311
1945,"Alameda",-0.028,0.0528488410468953
1945,"Astoria",-0.0613333333333333,0.105623545354875
1945,"CrescentCity",-0.0836666666666667,0.161846635224009
1945,"FridayHarbor",-0.0323333333333333,0.0735957426304901
1945,"LaJolla",-0.0223333333333333,0.0479826357480843
1945,"LosAngeles",-0.00966666666666667,0.028095076674274
1945,"NeahBay",-0.0436666666666667,0.113005899551012
1945,"SanDiego",-0.0286666666666667,0.0353883219909243
1945,"SanFrancisco",-0.0403333333333333,0.0437759446880742
1945,"SantaMonica",-0.021,0.0262868788561898
1945,"Seattle",-0.044,0.081504601097116
1946,"Alameda",-0.00666666666666666,0.0441059330853949
1946,"CrescentCity",0.031,0.0202977831301844
1946,"FridayHarbor",0.0246666666666667,0.0305995642670502
1946,"LaJolla",0.004,0.0153948043183407
1946,"LosAngeles",0.00933333333333333,0.0130128141972954
1946,"NeahBay",0.0173333333333333,0.0415250928154692
1946,"PortSanLuis",0.0216666666666667,0.033501243758006
1946,"SanDiego",-0.009,0.0121243556529821
1946,"SanFrancisco",-0.0273333333333333,0.0240069434400411
1946,"SantaMonica",0.0163333333333333,0.00832666399786453
1946,"Seattle",0.008,0.011
1947,"Alameda",-0.006,0.030347981810987
1947,"Astoria",0.017,0.0751065909225016
1947,"CrescentCity",0.047,0.0266645832519468
1947,"FridayHarbor",0.00666666666666667,0.0355293306063221
1947,"LaJolla",-0.00566666666666667,0.0205264057577875
1947,"LosAngeles",0.0116666666666667,0.0205020324195757
1947,"NeahBay",-0.008,0.0606959636219741
1947,"PortSanLuis",0.0206666666666667,0.0142945210949277
1947,"SanDiego",-0.0146666666666667,0.0170391705588427
1947,"SanFrancisco",-0.009,0.0323573793747269
1947,"SantaMonica",0.0126666666666667,0.014742229591664
1947,"Seattle",-0.013,0.0412431812546026
1948,"Alameda",0.035,0.0265141471671257
1948,"Astoria",0.201666666666667,0.120009721828414
1948,"FridayHarbor",0.104333333333333,0.0560029761113937
1948,"LaJolla",-0.00566666666666667,0.00450924975282289
1948,"LosAngeles",0.00166666666666667,0.0055075705472861
1948,"NeahBay",0.112,0.0599249530663145
1948,"PortSanLuis",-0.016,0.0381182371050918
1948,"SanDiego",-0.00666666666666667,0.00208166599946613
1948,"SanFrancisco",0.0203333333333333,0.033501243758006
1948,"SantaMonica",0.0186666666666667,0.00665832811847939
1948,"Seattle",0.0816666666666667,0.0481698384192155
1949,"Alameda",0.0136666666666667,0.0255016339345802
1949,"Astoria",0.153666666666667,0.147072544457942
1949,"FridayHarbor",-0.00666666666666667,0.0416693332480055
1949,"LaJolla",-0.00133333333333333,0.0187705443004014
1949,"LosAngeles",-0.00266666666666667,0.0161967074843418
1949,"NeahBay",-0.0166666666666667,0.0640026041136869
1949,"PortSanLuis",0.0103333333333333,0.00808290376865476
1949,"SanDiego",0.00166666666666667,0.0138684293751431
1949,"SanFrancisco",0.0126666666666667,0.0330807093837683
1949,"SantaMonica",0.031,0.0205182845286832
1949,"Seattle",-0.0293333333333333,0.0453688586293873
1950,"Alameda",0.000666666666666667,0.0144683562761405
1950,"Astoria",0.00933333333333333,0.0918767290086741
1950,"CrescentCity",-0.0243333333333333,0.0359072880253206
1950,"FridayHarbor",-0.0166666666666667,0.03585154575933
1950,"LaJolla",-0.00666666666666667,0.00450924975282289
1950,"LosAngeles",-0.0146666666666667,0.0127410099024109
1950,"NeahBay",-0.0206666666666667,0.0571430952375992
1950,"PortSanLuis",-0.033,0.0225166604983954
1950,"SanDiego",-0.0186666666666667,0.00850490054811538
1950,"SanFrancisco",-0.015,0.0190787840283389
1950,"SantaMonica",0.00633333333333333,0.00763762615825973
1950,"Seattle",-0.017,0.0391279950930277
1951,"Alameda",0.0403333333333333,0.0261023626006025
1951,"Astoria",0.021,0.0657799361507747
1951,"CrescentCity",0.0533333333333333,0.0340049016074644
1951,"FridayHarbor",-0.0116666666666667,0.0420990894596704
1951,"LaJolla",0.0156666666666667,0.021594752448994
1951,"LosAngeles",0.019,0.0257099202643649
1951,"PortSanLuis",0.042,0.0186815416922694
1951,"SanDiego",0.008,0.0216564078277077
1951,"SanFrancisco",0.0356666666666667,0.0211974841274462
1951,"SantaMonica",0.0603333333333333,0.0220529665426975
1951,"Seattle",-0.006,0.0345976877840124
1952,"Alameda",0.0373333333333333,0.0233523731841827
1952,"Astoria",0.00466666666666667,0.0170977581376429
1952,"CrescentCity",0.0366666666666667,0.00763762615825973
1952,"FridayHarbor",-0.042,0.0271845544381364
1952,"LaJolla",-0.00566666666666667,0.0343850742813409
1952,"LosAngeles",-0.00733333333333333,0.0368284310463171
1952,"NeahBay",-0.0403333333333333,0.028095076674274
1952,"PortSanLuis",0.0306666666666667,0.037233497463082
1952,"SanDiego",-0.0136666666666667,0.0345301800362137
1952,"SanFrancisco",0.0203333333333333,0.0287460142164672
1952,"SantaMonica",0.0126666666666667,0.0312143129562919
1952,"Seattle",-0.0446666666666667,0.022722969289539
1953,"Alameda",-0.0273333333333333,0.0100166528008778
1953,"Astoria",0.00866666666666667,0.0621476735955042
1953,"CrescentCity",-0.00266666666666667,0.0279344470740577
1953,"FridayHarbor",0.007,0.0402864741569674
1953,"LaJolla",-0.0323333333333333,0.0102632028788938
1953,"LosAngeles",-0.039,0.0163707055437449
1953,"NeahBay",0.02,0.0533572862878164
1953,"PortSanLuis",-0.0246666666666667,0.0240069434400411
1953,"SanDiego",-0.0203333333333333,0.0102632028788938
1953,"SanFrancisco",-0.0393333333333333,0.00450924975282289
1953,"SantaMonica",-0.0266666666666667,0.019731531449265
1953,"Seattle",-0.0103333333333333,0.0444672163884061
1954,"Alameda",0.0226666666666667,0.0300887575903914
1954,"Astoria",0.0156666666666667,0.107071627116306
1954,"CrescentCity",0.0163333333333333,0.0140118997046558
1954,"FridayHarbor",0.0296666666666667,0.021548395145192
1954,"LosAngeles",0.0246666666666667,0.0277908857961263
1954,"NeahBay",0.011,0.0606712452484701
1954,"PortSanLuis",0.027,0.032
1954,"SanDiego",0.017,0.0357910603363466
1954,"SanFrancisco",0.00266666666666667,0.0231156512634477
1954,"SantaMonica",0.021,0.0329241552663087
1954,"Seattle",0.0166666666666667,0.0287460142164672
1955,"Alameda",-0.0456666666666667,0.0191398362932741
1955,"Astoria",-0.0396666666666667,0.0946907246425611
1955,"CrescentCity",-0.04,0.0545252235208623
1955,"FridayHarbor",-0.00966666666666667,0.0640650710866174
1955,"LosAngeles",-0.011,0.00519615242270663
1955,"NeahBay",-0.0363333333333333,0.0903345633372594
1955,"PortSanLuis",-0.00933333333333333,0.0202566861389847
1955,"SanDiego",-0.008,0.00721110255092798
1955,"SanFrancisco",-0.029,0.0151327459504216
1955,"SantaMonica",0.00166666666666667,0.0209841209807162
1955,"Seattle",-0.0366666666666667,0.0585348898805946
1956,"Alameda",0.022,0.0153948043183407
1956,"Astoria",0.094,0.0790189850605536
1956,"CrescentCity",0.037,0.0230651251893416
1956,"FridayHarbor",0.0136666666666667,0.0240069434400411
1956,"LaJolla",-0.0223333333333333,0.0167431578064991
1956,"LosAngeles",0.0146666666666667,0.0151767365837763
1956,"NeahBay",-0.013,0.0521152568831815
1956,"NewportBeach",0.021,0.0156204993518133
1956,"PortSanLuis",0.013,0.0115325625946708
1956,"SanDiego",0.00233333333333333,0.0128970280814354
1956,"SanFrancisco",0.0106666666666667,0.0168027775481714
1956,"SantaMonica",0.00766666666666667,0.0148436293854749
1956,"Seattle",0.00733333333333333,0.0324704994315353
1957,"Alameda",0.03,0.0315119025131775
1957,"Astoria",0.0666666666666667,0.0945216024691358
1957,"CrescentCity",0.0216666666666667,0.0611582646363787
1957,"FridayHarbor",0.0436666666666667,0.0619784908926745
1957,"LaJolla",0.0336666666666667,0.0208166599946613
1957,"LosAngeles",0.0326666666666667,0.0275015151097777
1957,"NeahBay",0.021,0.0533572862878164
1957,"NewportBeach",0.0456666666666667,0.0265769323537035
1957,"PortSanLuis",0.061,0.0112694276695846
1957,"SanDiego",0.0446666666666667,0.0244404037064311
1957,"SanFrancisco",0.0413333333333333,0.0302875111776015
1957,"SantaMonica",0.043,0.0280535202782111
1957,"Seattle",0.04,0.0626976873576689
1958,"Alameda",0.085,0.0353836120259083
1958,"Astoria",0.0806666666666667,0.0440945952848343
1958,"CrescentCity",0.0593333333333333,0.0225905584998099
1958,"FridayHarbor",0.0946666666666667,0.0336501609703926
1958,"LaJolla",0.0173333333333333,0.0287460142164672
1958,"LosAngeles",0.0336666666666667,0.0305341339050796
1958,"NeahBay",0.065,0.0527162214123888
1958,"NewportBeach",0.0453333333333333,0.0245831920899897
1958,"PortSanLuis",0.0243333333333333,0.0254230866208911
1958,"SanDiego",0.0376666666666667,0.0295352896267048
1958,"SanFrancisco",0.0676666666666667,0.0307462734869339
1958,"SantaMonica",0.035,0.049
1958,"Seattle",0.048,0.0345108678534748
1959,"Alameda",-0.026,0.031
1959,"Astoria",0.0156666666666667,0.0692411245816627
1959,"CrescentCity",-0.0436666666666667,0.0110151410945722
1959,"FridayHarbor",0.004,0.0255342906696074
1959,"LaJolla",0.0286666666666667,0.00901849950564579
1959,"LosAngeles",0.03,0.00692820323027551
1959,"NeahBay",0.017,0.0325269119345812
1959,"NewportBeach",0.0516666666666667,0.0110151410945722
1959,"PortSanLuis",0.0243333333333333,0.0411865673895426
1959,"SanDiego",0.041,0.007
1959,"SanFrancisco",-0.00633333333333333,0.0403773864103824
1959,"SantaMonica",0.0566666666666667,0.0178978583448784
1959,"Seattle",0.0123333333333333,0.0142243921955679
1960,"Alameda",-0.0406666666666667,0.052624455658309
1960,"Astoria",0.0373333333333333,0.0813285517720151
1960,"CrescentCity",-0.000333333333333333,0.00305505046330389
1960,"FridayHarbor",0.0136666666666667,0.05844940832321
1960,"LaJolla",-0.00666666666666667,0.0289367125522809
1960,"LosAngeles",-0.00666666666666667,0.00650640709864771
1960,"NeahBay",0.0566666666666667,0.0918168466749612
1960,"NewportBeach",0.00733333333333333,0.00873689494805411
1960,"SanDiego",-0.00333333333333333,0.00850490054811538
1960,"SanFrancisco",-0.0533333333333333,0.0492172056636024
1960,"SantaMonica",-0.007,0.0185202591774521
1960,"Seattle",0.0366666666666667,0.041198705481281
1961,"Alameda",-0.0403333333333333,0.0404268887416943
1961,"Astoria",0.025,0.0978927985093899
1961,"CrescentCity",0.02,0.0504678115237822
1961,"FridayHarbor",0.0146666666666667,0.0363501490139082
1961,"LaJolla",-0.0583333333333333,0.0312623309005156
1961,"LosAngeles",-0.0443333333333333,0.0106926766215636
1961,"NeahBay",0.017,0.0452990066116245
1961,"NewportBeach",-0.025,0.0260576284415908
1961,"PortSanLuis",-0.012,0.0511175116765282
1961,"SanDiego",-0.0216666666666667,0.0201080415091409
1961,"SanFrancisco",-0.0296666666666667,0.0430038757943204
1961,"SantaMonica",0.0636666666666667,0.0275015151097777
1961,"Seattle",0.00733333333333333,0.0321921315438002
1962,"Alameda",-0.0303333333333333,0.0160727512683216
1962,"Astoria",-0.019,0.0216333076527839
1962,"CrescentCity",-0.00366666666666667,0.0340783411176855
1962,"FridayHarbor",-0.032,0.0367151195013716
1962,"LaJolla",-0.037,0.0219317121994613
1962,"LosAngeles",-0.0206666666666667,0.017156145643277
1962,"NeahBay",-0.0173333333333333,0.0496521231503078
1962,"NewportBeach",-0.0153333333333333,0.00945163125250521
1962,"PortSanLuis",0.00533333333333333,0.0110151410945722
1962,"RinconIsland",-0.0513333333333333,0.0120554275466834
1962,"SanFrancisco",-0.043,0.046184412955022
1962,"SantaMonica",-0.0146666666666667,0.00850490054811538
1962,"Seattle",-0.0416666666666667,0.0297377425729213
1963,"Alameda",0.0463333333333333,0.0089628864398325
1963,"Astoria",0.039,0.0658710862214978
1963,"CrescentCity",0.066,0.0745452882481515
1963,"LaJolla",0.00266666666666667,0.0185831464863551
1963,"LosAngeles",-0.0326666666666667,0.0275378527364305
1963,"NeahBay",0.071,0.0835404093837228
1963,"NewportBeach",-0.002,0.0306104557300279
1963,"PortSanLuis",0.000333333333333335,0.0433628104870214
1963,"RinconIsland",-0.0106666666666667,0.0509542278258962
1963,"SanDiego",-0.007,0.0202237484161567
1963,"SanFrancisco",0.0366666666666667,0.0181750745069541
1963,"SantaMonica",-0.004,0.0259422435421457
1963,"Seattle",0.0436666666666667,0.0602771377334171
1964,"Alameda",-0.047,0.0155884572681199
