"year","site","ssh","st_dev"
1855,"SanFrancisco",0.145333333333333,0.112251206378076
1856,"SanFrancisco",0.0156666666666667,0.0754077803236067
1857,"SanFrancisco",0.037,0.0147309198626562
1858,"SanFrancisco",-0.026,0.053
1859,"SanFrancisco",0.0276666666666667,0.015502687938978
1860,"SanFrancisco",-0.0476666666666667,0.0386307304271267
1861,"SanFrancisco",-0.0863333333333333,0.00602771377334171
1862,"SanFrancisco",0.00933333333333333,0.035557465226494
1863,"SanFrancisco",-0.0426666666666667,0.00208166599946613
1864,"SanFrancisco",0.011,0.0743437959751855
1865,"SanFrancisco",-0.0803333333333333,0.0410162569395762
1866,"SanFrancisco",0.013,0.0294618397253125
1867,"SanFrancisco",0.028,0.0275136329843952
1868,"SanFrancisco",0.0403333333333333,0.0310698138606161
1869,"SanFrancisco",0.019,0.0115325625946708
1870,"SanFrancisco",-0.0296666666666667,0.0227449628123093
1871,"SanFrancisco",-0.0266666666666667,0.00929157324317757
1872,"SanFrancisco",0.005,0.0530188645672462
1873,"SanFrancisco",-0.0446666666666667,0.0148436293854749
1874,"SanFrancisco",0.026,0.0240624188310319
1875,"SanFrancisco",-0.00766666666666667,0.0350190424388408
1876,"SanFrancisco",0.0323333333333333,0.0330050501186308
1877,"SanFrancisco",0.0323333333333333,0.0274651294068194
1878,"SanFrancisco",0.0836666666666667,0.0342393535764525
1879,"SanFrancisco",0.0236666666666667,0.0287112057101985
1880,"SanFrancisco",0.0603333333333333,0.0270985854489369
1881,"SanFrancisco",0.086,0.0268514431641951
1882,"SanFrancisco",0.0376666666666667,0.0376342043005207
1883,"SanFrancisco",0.033,0.0597745765355138
1884,"SanFrancisco",0.123333333333333,0.0332465537061112
1885,"SanFrancisco",0.025,0.046184412955022
1886,"SanFrancisco",0.036,0.0439203825119955
1887,"SanFrancisco",0.0116666666666667,0.0230289672658878
1888,"SanFrancisco",-0.0166666666666667,0.0445458565226142
1889,"SanFrancisco",0.032,0.0157162336455017
1890,"SanFrancisco",0.0653333333333333,0.044286943147313
1891,"SanFrancisco",-0.008,0.0396862696659689
1892,"SanFrancisco",-0.0626666666666667,0.0439355588712985
1893,"SanFrancisco",-0.0246666666666667,0.0295691280448601
1894,"SanFrancisco",-0.00733333333333333,0.0415852537966685
1895,"SanFrancisco",0.013,0.0225166604983954
1896,"SanFrancisco",0.00933333333333333,0.0215019378971602
1897,"SanFrancisco",-0.0263333333333333,0.0244404037064311
1898,"SanFrancisco",-0.0313333333333333,0.0180369990112916
1899,"SanFrancisco",0.000333333333333333,0.0269505720409295
1899,"Seattle",-0.021,0.005
1900,"SanFrancisco",0.00466666666666667,0.0155349069303081
1900,"Seattle",0.0836666666666667,0.0482113402980391
1901,"SanFrancisco",-0.031,0.0300499584026334
1901,"Seattle",-0.0213333333333333,0.0495412286215565
1902,"SanFrancisco",-0.00133333333333333,0.0117189305541646
1902,"Seattle",0.019,0.0217944947177034
1903,"SanFrancisco",0.00133333333333333,0.0218250620464945
1903,"Seattle",-0.00633333333333333,0.0146401275039985
1904,"SanFrancisco",0.0563333333333333,0.0112398102000582
1904,"Seattle",0.015,0.0493254498205541
1905,"SanFrancisco",0.039,0.052
1905,"Seattle",0.033,0.0330605505096331
1906,"SanDiego",-0.012,0.0252388589282479
1906,"SanFrancisco",0.0283333333333333,0.0308274769213008
1906,"Seattle",0.0726666666666667,0.0481698384192155
1907,"SanDiego",0.028,0.0165227116418583
1907,"SanFrancisco",0.0606666666666667,0.0315013227235514
1907,"Seattle",0.0833333333333333,0.00152752523165195
1908,"SanDiego",-0.00166666666666667,0.029365512652316
1908,"SanFrancisco",-0.0416666666666667,0.0365558932777375
1908,"Seattle",0.0313333333333333,0.0192180470738661
1909,"SanDiego",-0.008,0.014
1909,"SanFrancisco",-0.0113333333333333,0.00404145188432738
1909,"Seattle",-0.0193333333333333,0.0390042732701602
1910,"SanDiego",-0.015,0.0225388553391693
1910,"SanFrancisco",-0.0336666666666667,0.0190875177362939
1910,"Seattle",0.0153333333333333,0.0132035348802256
1911,"SanDiego",0.0243333333333333,0.0130511813003013
1911,"SanFrancisco",0.0163333333333333,0.0213853532431273
1911,"Seattle",0.000666666666666667,0.0364600237703342
1912,"SanDiego",0.007,0.006557438524302
1912,"SanFrancisco",0.005,0.0180277563773199
