"location","order","site"
"NeahBay",16,"Neah Bay"
"TokePoint",15,"Toke Point"
"Astoria",14,"Astoria"
"SouthBeachOR",13,"South Beach"
"Charleston",12,"Charleston"
"PortOrford",11,"Port Orford"
"CrescentCity",10,"Crescent City"
"NorthSpit",9,"North Spit"
"PointReyes",8,"Point Reyes"
"SanFrancisco",7,"San Francisco"
"Monterey",6,"Monterey"
"PortSanLuis",5,"Port San Luis"
"SantaMonica",4,"Santa Monica"
"LosAngeles",3,"Los Angeles"
"LaJolla",2,"La Jolla"
"SanDiego",1,"San Diego"
