"year","DF1","DF2","DF3","DF4","DF5","lCI1","lCI2","lCI3","lCI4","lCI5","uCI1","uCI2","uCI3","uCI4","uCI5"
1925,0.557878658188337,0.0134796589205152,0.0416383894511451,0.111677374171328,0.0468308813156193,-0.464423759791887,-1.0080466880341,-1.54760426067943,-1.52184794284388,-1.49447699042319,1.57254301519556,1.13401423828993,1.50327836861656,1.58513383914878,1.48965870869592
1926,0.0531240359984027,0.135358477640381,-0.0528207772727405,0.0507009878033111,-0.00872959291637619,-0.983786548156709,-1.29484836838951,-2.13185399406977,-2.10594843997354,-2.0471090188842,1.11508059742166,1.34148778536889,2.01001544701564,2.0884501547812,2.12568093320372
1927,0.652099807182666,-0.190763421549729,-0.0579637123209162,-0.0769472112041351,-0.00905203220448348,-0.469543164473764,-1.41549265607202,-2.27032674323659,-2.16327710007212,-2.18330122651345,1.77957603018464,1.29449422251222,2.33936585197365,2.31493705220557,2.22518553887952
1928,0.933377073800629,-0.148118960788505,-0.03440806720243,-0.0689764651015233,-0.0220713225674546,-0.183517407655509,-1.54137603992044,-2.49491267022365,-2.45844660369169,-2.57535577464735,2.05197051894213,1.39136870325272,2.53157329232868,2.50141643723889,2.38769497495299
1929,0.0879936808598171,0.313267610709424,-0.137047599021924,-0.166737003856909,-0.144787458909157,-0.987339896633324,-1.68747490130762,-2.59986338575886,-2.65768839327499,-2.73211483788936,1.27338309036082,1.7183838621943,2.65199539698342,2.68971559631273,2.65066308791437
1930,0.000922040259532365,0.151035916512482,0.0762152912218774,0.0484586653355834,-0.111581027359568,-1.13033925220503,-1.64799127699583,-2.58538953294932,-2.9013418154698,-2.95609561281515,1.13093346727135,1.70311759386825,3.00881517515849,2.99837314653884,2.83537492169578
1931,0.137147652773337,0.321673466190833,0.0893153958963323,0.0587327040832361,-0.141391261205489,-0.989049978953239,-1.70652174407016,-2.76818844861484,-2.94801567315712,-3.06062632731782,1.27518704688388,1.70269538917977,3.10460641671019,3.12670792381954,2.96971271245974
1932,0.97074863481441,0.16866454710748,0.111991739350678,0.0536204066137783,-0.0753782201243071,-0.172588614825752,-1.61196436040308,-2.82199889602185,-3.08256475242051,-3.10899828438374,2.09747467899577,1.71666301926931,3.2423796253388,3.19105557298468,3.00512818191178
1933,0.463231341409052,-0.6454967637423,-0.0207044981041976,-0.163184630644615,0.0468887626670767,-0.45438997912032,-1.94231965329951,-2.9644761502793,-3.14699293365392,-3.20330274769375,1.42118226258359,1.86142258133383,3.22175367159402,3.11647538273226,3.12342655790847
1934,0.376293566287063,0.0348240144710416,0.174910680069918,0.0131123831164336,-0.104683679282328,-0.502873273339688,-1.76633585339944,-3.03993436069519,-3.10770723233797,-3.35334526342981,1.26246862948725,1.87395878283486,3.30866573854091,3.07284155385782,3.22386440148071
