"","X.Intercept.","DF1","I.DF1.2.","DF2","I.DF2.2.","DF3","I.DF3.2.","DF4","I.DF4.2.","DF5","I.DF5.2.","R2","F","df","logLik","AICc","delta","weight"
"2",0.256879564125693,-0.543091155492057,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150467079574376,7.7931665060791,3,-69.380314402983,145.332057377395,0,0.147562809166662
"66",0.244769127823677,-0.539775570876697,NA,NA,NA,NA,NA,0.148637520239213,NA,NA,NA,0.158314737500246,4.04399008501862,4,-69.1668618400854,147.309333436268,1.97727605887388,0.0549056292980493
"258",0.261058168326106,-0.554922847658923,NA,NA,NA,NA,NA,NA,NA,0.0733013249116131,NA,0.153127339437145,3.88752400592376,4,-69.308178319861,147.59196639582,2.25990901842502,0.047669863262218
"770",0.00356581072099351,-0.529988216655862,NA,NA,NA,NA,NA,NA,NA,0.183583582772985,0.367021488982772,0.197854047851312,3.4531828808692,5,-68.0602037226247,147.620407445249,2.28835006785491,0.0469967700060733
"6",0.256100673995275,-0.543203761222885,NA,-0.106663179969715,NA,NA,NA,NA,NA,NA,NA,0.152306720970371,3.86294734412837,4,-69.3304544978134,147.636518751724,2.30446137432986,0.0466197011307851
"4",0.28194152181006,-0.520293899375536,-0.0348881375897279,NA,NA,NA,NA,NA,NA,NA,NA,0.151659162895435,3.84358722300898,4,-69.3480176308962,147.67164501789,2.3395876404953,0.0458080614467786
"18",0.254373055466054,-0.532993001481154,NA,NA,NA,-0.0617888392157787,NA,NA,NA,NA,NA,0.151354222568127,3.83448061812335,4,-69.3562836095945,147.688176975287,2.35611959789199,0.0454309736336478
"342",0.174174529571986,-0.470726567689365,NA,2.80511861057985,NA,-2.13237029292169,NA,1.5659903677156,NA,1.94547231002767,NA,0.285987817292727,3.20429061821736,7,-65.3832210330011,147.713810487055,2.38175310966031,0.044852411499797
"194",0.325310488151182,-0.531938714977822,NA,NA,NA,NA,NA,0.273658726682437,-0.178976106814547,NA,NA,0.168681720822601,2.84072196012964,5,-68.8818132284803,149.263626456961,3.931569079566,0.0206655770214394
"322",0.247369584955727,-0.562559272898493,NA,NA,NA,NA,NA,0.222634786346771,NA,0.151378874471634,NA,0.167715451454737,2.82117014483853,5,-68.9085313821041,149.317062764208,3.98500538681373,0.0201207418654907
"786",-0.0455254670898508,-0.492251736476897,NA,NA,NA,-0.250172162017602,NA,NA,NA,0.24573789893605,0.426136423557296,0.210260978680872,2.7289711832639,6,-67.7016788391938,149.557203832234,4.22514645483929,0.0178442384922793
"82",0.237854104987191,-0.51974767474488,NA,NA,NA,-0.119053498344007,NA,0.174234312702102,NA,NA,NA,0.161375508076396,2.69400325750963,5,-69.0830703832694,149.666140766539,4.33408338914433,0.0168982863170362
"70",0.244021200145312,-0.539893850200691,NA,-0.105745558016348,NA,NA,NA,0.148339744467137,NA,NA,NA,0.160122830732058,2.66910414079092,5,-69.1174005063012,149.734801012602,4.40274363520786,0.0163280108889746
"50",0.359488179713481,-0.566448891851872,NA,NA,NA,0.0730215951772575,-0.286477320292296,NA,NA,NA,NA,0.159545171355791,2.65764717252477,5,-69.1332142457218,149.766428491444,4.43437111404907,0.0160718348685018
"68",0.263777434978768,-0.522912273068593,-0.0259583094272924,NA,NA,NA,NA,0.144205459735503,NA,NA,NA,0.158967699168461,2.64620964754628,5,-69.1490120006947,149.798024001389,4.46596662399483,0.0158199309563551
"274",0.258136779999864,-0.541991328055911,NA,NA,NA,-0.0959393067397149,NA,NA,NA,0.0903251675033858,NA,0.155122634343599,2.57045219707494,5,-69.2539246731444,150.007849346289,4.67579196889423,0.0142443156525071
