"","X.Intercept.","DF1","I.DF1.2.","DF2","I.DF2.2.","DF3","I.DF3.2.","DF4","I.DF4.2.","DF5","I.DF5.2.","R2","F","df","logLik","AICc","delta","weight"
"260",0.28846536981665,-0.530627336457789,-0.0379165869863532,NA,NA,NA,NA,NA,NA,0.076279118031661,NA,0.154530971425319,2.55885612226584,5,-69.2700258080628,150.040051616126,4.70799423873106,0.0140168025292568
"8",0.285864977266565,-0.516051080925482,-0.041576086419329,-0.120625118304066,NA,NA,NA,NA,NA,NA,NA,0.153968127371835,2.54783992535595,5,-69.2853322305409,150.070664461082,4.73860708368716,0.0138038890566154
"262",0.259796409123671,-0.552384984241008,NA,-0.0476159236671963,NA,NA,NA,NA,NA,0.057266972844888,NA,0.153366660390052,2.53608397520695,5,-69.3016777441879,150.103355488376,4.77129811098123,0.0135800914260248
"20",0.282764231743127,-0.504724462133409,-0.0402112859932156,NA,NA,-0.0739832450596005,NA,NA,NA,NA,NA,0.152903274207892,2.52703826343892,5,-69.3142628457614,150.128525691523,4.79646831412828,0.01341025553861
"22",0.254792676836007,-0.537487379843862,NA,-0.092003437538945,NA,-0.0348828405227111,NA,NA,NA,NA,NA,0.152554717311976,2.52024064089802,5,-69.3237247637062,150.147449527412,4.81539215001789,0.0132839672081873
"14",0.240658742182763,-0.542781481522454,NA,-0.113464621855467,0.0676226401128757,NA,NA,NA,NA,NA,NA,0.152458920845652,2.51837337957564,5,-69.3263245707341,150.152649141468,4.82059176407355,0.0132494763111472
"834",0.0201435390035895,-0.53519220877972,NA,NA,NA,NA,NA,0.0893985599064181,NA,0.205481171408978,0.335557403586075,0.199877536049105,2.5605389634818,6,-68.0021107678816,150.158067689609,4.82601031221475,0.0132136284313215
"774",-0.00431533560298222,-0.523312265980449,NA,-0.116547740052169,NA,NA,NA,NA,NA,0.146389608407375,0.373852973433528,0.199272336972808,2.55085661240846,6,-68.0195010022119,150.19284815827,4.86079078087545,0.0129858268390376
"772",-0.0183829257993429,-0.542784628081994,0.0209942671858996,NA,NA,NA,NA,NA,NA,0.184835824537179,0.376676187183708,0.198253422448071,2.53458840609906,6,-68.048749568752,150.25134529135,4.91928791395554,0.012611510806912
"1",0.257196836956522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,-73.1308918789776,150.540853525397,5.20879614800239,0.0109119207235017
"341",0.156359692329702,NA,NA,3.15800051248319,NA,-2.52065345642547,NA,1.75301076647112,NA,2.12693852549616,NA,0.18224346703132,2.28429301602726,6,-68.5035075352653,151.160861224377,5.82880384698214,0.00800328423259218
"338",0.234092895340148,-0.531831252474118,NA,NA,NA,-0.251256473452021,NA,0.314134866744051,NA,0.228051682392308,NA,0.178936480031107,2.23380880493672,6,-68.5963313985165,151.346508950879,6.01445157348456,0.00729382517127674
"114",0.391753498922095,-0.565046603854868,NA,NA,NA,0.0616831353613873,-0.440195813968394,0.254591648876728,NA,NA,NA,0.178583414240288,2.22844294563394,6,-68.6062195101418,151.36628517413,6.03422779673522,0.00722205841739131
"450",0.323936955186874,-0.553892308693664,NA,NA,NA,NA,NA,0.33779204184806,-0.170450473750643,0.143383132371897,NA,0.177092057255176,2.20582824952562,6,-68.6479402525723,151.449726658991,6.11766928159628,0.00692694770247178
"196",0.362165654881785,-0.503388085461937,-0.0431629249364971,NA,NA,NA,NA,0.274436321883309,-0.190639262679949,NA,NA,0.170443026370704,2.10599280801227,6,-68.8330316686085,151.819909491063,6.48785211366868,0.00575648965002379
"210",0.31505453794648,-0.518831977017774,NA,NA,NA,-0.0811183289069198,NA,0.282493121378343,-0.166655700869284,NA,NA,0.170053563201595,2.10019459754575,6,-68.8438272511878,151.841500656222,6.50944327882729,0.00569467923068787
"198",0.321787603797981,-0.532313908233351,NA,-0.075313201168379,NA,NA,NA,0.268805074149883,-0.172331388484628,NA,NA,0.169584577993283,2.09321970469991,6,-68.8568203948461,151.867486943538,6.53542956614373,0.00562116606314514
"850",-0.0250149739648304,-0.491803248449142,NA,NA,NA,-0.32734421539383,NA,0.19227079446634,NA,0.312006465400565,0.376701679132237,0.218440162129938,2.23594050303546,7,-67.4622299051409,151.871828231334,6.53977085393984,0.00560897774636358
"324",0.267449531804613,-0.544847559471348,-0.0274072940871829,NA,NA,NA,NA,0.218257013884749,NA,0.151996040843904,NA,0.168443187619427,2.07627746823022,6,-68.8884117562212,151.930669666288,6.59861228889392,0.00544636147010834
"326",0.248605585685153,-0.567848357229229,NA,0.0878156123278567,NA,NA,NA,0.240379057431868,NA,0.187173088194049,NA,0.168436774847141,2.07618241158492,6,-68.8885891261755,151.931024406197,6.59896702880266,0.00544539553488937
"818",0.034761876211077,-0.514244918598715,NA,NA,NA,-0.135295391300261,-0.212353407088251,NA,NA,0.209366536960381,0.420797616476649,0.214205585355384,2.18077992272074,7,-67.586510044917,152.120388510887,6.78833113349214,0.00495347001072951
"17",0.247339151847558,NA,NA,NA,NA,-0.242434717829107,NA,NA,NA,NA,NA,0.014458094528146,0.64548869581943,3,-72.7959283601828,152.163285291794,6.8312279143997,0.00484835733032529
"790",-0.0499656211761413,-0.489803971172831,NA,0.182145258096412,NA,-0.33556742454329,NA,NA,NA,0.32508218832756,0.43563856426625,0.212279478287864,2.155886230578,7,-67.6428177210065,152.233003863066,6.90094648567106,0.00468225891284727
"84",0.261897897507771,-0.496456888058523,-0.0335424637582113,NA,NA,-0.127973606768687,NA,0.170425196646045,NA,NA,NA,0.162448572298474,1.9880544775965,6,-69.0536218269568,152.26108980776,6.92903243036525,0.00461696560944992
"52",0.40349170889754,-0.532062295604285,-0.0521622257551596,NA,NA,0.0664041458331145,-0.30603017498104,NA,NA,NA,NA,0.162113661237719,1.9831628119647,6,-69.0628169813865,152.279480116619,6.94742273922461,0.00457470648501551
"86",0.238575841720649,-0.523222435805684,NA,-0.0640818521522921,NA,-0.0988242629871113,NA,0.16970452552843,NA,NA,NA,0.161951135805498,1.9807903965145,6,-69.0672778757531,152.288401905352,6.95634452795775,0.00455434465238599
"72",0.267755705897871,-0.518781200795308,-0.0325183581596808,-0.116700297077128,NA,NA,NA,0.142756788561217,NA,NA,NA,0.161128115368288,1.96879072094547,6,-69.0898543410857,152.333554836018,7.00149745862296,0.00445267563013461
"788",-0.0552574012886034,-0.498460729374417,0.00968741187297476,NA,NA,-0.248154632899052,NA,NA,NA,0.245814475085867,0.430114667336801,0.210345206144637,2.13100922358906,7,-67.6992257060363,152.345819833125,7.01376245573059,0.00442545315946734
"306",0.347816957338999,-0.567048779614585,NA,NA,NA,0.0364938971798506,-0.248995276851292,NA,NA,0.0499609201879458,NA,0.16055788109298,1.96049047830221,6,-69.1054835842537,152.364813322354,7.03275594495895,0.00438362469251288
"78",0.267728100146349,-0.540318999573162,NA,-0.0948366075803705,-0.107777857510109,NA,NA,0.159449192896174,NA,NA,NA,0.160465616034444,1.95914854205725,6,-69.1080114294556,152.369869012757,7.0378116353628,0.00437255756175681
"65",0.243676315676124,NA,NA,NA,NA,NA,NA,0.165917670490347,NA,NA,NA,0.0097854024116068,0.434812521608241,3,-72.9047192146111,152.380867000651,7.04880962325615,0.00434857888391948
"54",0.356496254421338,-0.568583369704331,NA,-0.0651232779421188,NA,0.0878485250629903,-0.277513728761077,NA,NA,NA,NA,0.160138637202938,1.95439521811498,6,-69.1169676427057,152.387781439258,7.05572406186303,0.00433357085103839
"769",-0.038532367445163,NA,NA,NA,NA,NA,NA,NA,NA,0.114409083646538,0.420526670378071,0.0592631991080523,1.35442642364479,4,-71.7257786385899,152.427167033277,7.09510965588288,0.00424906552402323
"276",0.291487810424086,-0.509722101648577,-0.046843885716257,NA,NA,-0.1126576464393,NA,NA,NA,0.0969706363377822,NA,0.157204444675851,1.91190561904153,6,-69.1971818513187,152.548209856483,7.21615247908892,0.00399953326457866
"278",0.259035733385977,-0.541475077293608,NA,0.0702441463574335,NA,-0.127545608285001,NA,NA,NA,0.119587770832578,NA,0.155426913491009,1.88630905806857,6,-69.2456398247108,152.645125803268,7.3130684258733,0.00381034485080241
"264",0.288719808035898,-0.525528484410366,-0.0405951511667067,-0.0634637286929928,NA,NA,NA,NA,NA,0.0551184828985948,NA,0.154949102167281,1.87944690821336,6,-69.2586482346773,152.671142623201,7.3390852458061,0.00376109932033138
"24",0.285774384038159,-0.507195227803838,-0.0438130964614865,-0.102412022189385,NA,-0.0451255806717703,NA,NA,NA,NA,NA,0.154378335850645,1.87125993757608,6,-69.2741777062929,152.702201566432,7.37014418903749,0.00370314261842461
"16",0.275558010576329,-0.516383062239681,-0.0406635339532364,-0.12457065425053,0.0422749375539032,NA,NA,NA,NA,NA,NA,0.154026810406572,1.86622321615903,6,-69.2837368336598,152.721319821166,7.38926244377129,0.00366791245953349
"270",0.240237747137115,-0.552292334366198,NA,-0.0534342413142724,0.0864386237553861,NA,NA,NA,NA,0.0600558962007153,NA,0.153612829297516,1.86029698322661,6,-69.2949892429239,152.743824639694,7.41176726229949,0.00362687094837828
"5",0.256431223257893,NA,NA,-0.104853927725415,NA,NA,NA,NA,NA,NA,NA,0.00177776787032815,0.0783610941298665,3,-73.0899668295529,152.751362230534,7.41930485313989,0.00361322773913943
"962",0.0841633592330347,-0.531906927733253,NA,NA,NA,NA,NA,0.170125284626809,-0.104772263789619,0.196529273255466,0.310518277892289,0.203241216589156,2.0406800233225,7,-67.9052159399534,152.757800300959,7.42574292356485,0.00360161533221731
"30",0.231837822810356,-0.53507759799025,NA,-0.0973343633539901,0.0987260105258969,-0.0458258540274941,NA,NA,NA,NA,NA,0.152854720625137,1.84945950187413,6,-69.3155811136361,152.785008381118,7.45295100372383,0.0035529505820224
"257",0.256250248391921,NA,NA,NA,NA,NA,NA,NA,NA,-0.0165776911955752,NA,0.000139718352617177,0.00614846656877592,3,-73.1276781323524,152.826784836133,7.49472745873891,0.00347950548136054
"853",-0.0193891778877108,NA,NA,2.76810054700418,NA,-2.30681778682649,NA,1.49094692886298,NA,1.94950649442859,0.268264873536325,0.200561784148263,2.00702723659094,7,-67.9824332308687,152.91223488279,7.58017750539545,0.00333397457159427
"838",0.0118131876614865,-0.5299924206606,NA,-0.0716927681171828,NA,NA,NA,0.0706192124586744,NA,0.178001922934623,0.346369145395824,0.200324917042542,2.0040631132502,7,-67.9892469362834,152.925862293619,7.59380491622488,0.00331133506804673
"836",-0.00121543662041434,-0.547554881812996,0.0203342807327575,NA,NA,NA,NA,0.0888580465349689,NA,0.206561651873129,0.345098827054173,0.20025212147436,2.00315251194945,7,-67.991340563935,152.930049548923,7.59799217152803,0.00330440961757162
"782",0.0188070712930798,-0.522913204357418,NA,-0.109493123051546,-0.123525981474165,NA,NA,NA,NA,0.144033275966096,0.380687193086078,0.199759725595165,1.99699747172793,7,-68.0054970507293,152.958362522511,7.62630514511665,0.00325796034146341
"776",-0.0217664334234368,-0.533995347858732,0.0170325605038129,-0.111285818457142,NA,NA,NA,NA,NA,0.149084788160349,0.381377360121621,0.199532314688221,1.99415734925518,7,-68.0120322226989,152.97143286645,7.63937548905579,0.00323673843031091
"785",-0.116852051727194,NA,NA,NA,NA,-0.425076953545217,NA,NA,NA,0.228386752783711,0.514497876245314,0.0971113967306028,1.50578880861428,5,-70.7813016684403,153.062603336881,7.73054595948608,0.00309250341713206
"349",-0.00394974516848601,NA,NA,3.34071447128312,0.693288380302081,-2.73319966632124,NA,1.80468318123812,NA,2.28487936130781,NA,0.195115217949024,1.93931079130943,7,-68.1386006660079,153.224569753068,7.89251237567382,0.00285193503107334
"370",0.360657398202809,-0.566745987604064,NA,NA,NA,-0.0799678429550902,-0.360103114855694,0.355070100006331,NA,0.187623193608225,NA,0.189900274425127,1.87532737938276,7,-68.2871396982688,153.52164781759,8.18959044019564,0.0024582720634458
"81",0.225629701351801,NA,NA,NA,NA,-0.312534785071527,NA,0.231430249797184,NA,NA,NA,0.0322878244448263,0.717349892973613,4,-72.3760186488678,153.727647053833,8.39558967643865,0.00221767438347253
"466",0.296814717323855,-0.53008177531125,NA,NA,NA,-0.209548432672652,NA,0.389964944253496,-0.134721984765336,0.209004421707048,NA,0.184484968497021,1.80975174087981,7,-68.4403771077235,153.8281226365,8.49606525910499,0.00210901556226674
"373",0.12642840587705,NA,NA,3.18360156658047,NA,-2.57499662199397,0.0841555060641779,1.75431331051999,NA,2.15271180147986,NA,0.18286487789717,1.79030246480246,7,-68.4860232566484,153.919414934349,8.58735755695488,0.0020149112132477
"469",0.144229739197685,NA,NA,3.18719230032612,NA,-2.54778244792777,NA,1.75209868592523,0.0247299415064596,2.14833093657475,NA,0.182418688193252,1.78495947066237,7,-68.498578783995,153.944525989043,8.6124686116481,0.00198977109439282
"242",0.415504107850721,-0.558068535429988,NA,NA,NA,0.0584173643599525,-0.377644162904288,0.307145720201849,-0.0984809900122527,NA,NA,0.181266255741717,1.77118636687859,7,-68.5309759078491,154.009320236751,8.6772628593562,0.00192634125376826
"116",0.432090136088591,-0.533296920216845,-0.0481826214734068,NA,NA,0.0556793959924891,-0.456781272186693,0.252147641689289,NA,NA,NA,0.180773185038083,1.76530535120715,7,-68.5448231601071,154.037014741267,8.7049573638723,0.00189985055547311
"340",0.265511719507812,-0.501601315845682,-0.0439584429431363,NA,NA,-0.266156169113277,NA,0.312539398817093,NA,0.233588307432407,NA,0.180769108320755,1.76525675637273,7,-68.5449376146923,154.037243650437,8.70518627304259,0.00189963312130935
"193",0.340697404721643,NA,NA,NA,NA,NA,NA,0.316187893294484,-0.215554302638469,NA,NA,0.0248683180492392,0.548304242345025,4,-72.5516884290427,154.078986614183,8.74692923678839,0.00186039585733831
"452",0.361312462311596,-0.525001538742258,-0.0437771692097223,NA,NA,NA,NA,0.338773973241715,-0.182253913401833,0.14381522777461,NA,0.178903772799133,1.74307241341512,7,-68.5972475899367,154.141863600926,8.8098062235315,0.00180281764300973
"118",0.391290621528547,-0.565305807188967,NA,-0.00776777170772711,NA,0.0634889134420063,-0.438621617983238,0.253755196350584,NA,NA,NA,0.178591652111941,1.73937021771081,7,-68.6059888452132,154.159346111479,8.82728873408448,0.0017871274297616
"454",0.329400977835105,-0.561147828949681,NA,0.127364600605265,NA,NA,NA,0.36904943313868,-0.178623498976926,0.194914378169673,NA,0.178587842841064,1.73932505171344,7,-68.6060955071764,154.159559435406,8.82750205801096,0.00178693682140689
"212",0.354274839240574,-0.485843314873219,-0.0474196330866963,NA,NA,-0.0911593439565748,NA,0.284440944548975,-0.177944023448192,NA,NA,0.172158377740937,1.66368419380646,7,-68.7854232107517,154.518214842556,9.1861574651615,0.0014935788868807
"273",0.248734218017519,NA,NA,NA,NA,-0.256672627073303,NA,NA,NA,0.0345707804102088,NA,0.0150158358041119,0.327762091537748,4,-72.7829084363288,154.541426628755,9.20936925136053,0.00147634477207875
"200",0.361759621176131,-0.500911939972918,-0.0475788445985262,-0.089288905061332,NA,NA,NA,0.268761542141403,-0.183954734769119,NA,NA,0.171693620685645,1.65826196657104,7,-68.798331975599,154.544032372251,9.21197499485609,0.00147442253667023
"49",0.242519304134591,NA,NA,NA,NA,-0.248120133422353,0.013191262766812,NA,NA,NA,NA,0.0144766052245755,0.315818999303713,4,-72.7954963643298,154.566602484757,9.23454510736258,0.00145787712892265
"21",0.247352888643887,NA,NA,-0.00350763408244748,NA,-0.241467000368261,NA,NA,NA,NA,NA,0.0144598536174424,0.315448187388537,4,-72.7958873075501,154.567384371198,9.23532699380314,0.00145730729313707
"773",-0.054680896638536,NA,NA,-0.256034601932094,NA,NA,NA,NA,NA,0.0346147563100161,0.434053624175345,0.06621402362351,0.992728905960125,5,-71.5552075486959,154.610415097392,9.27835771999722,0.00142628769315947
"214",0.314661174192636,-0.521487731503172,NA,-0.0487714551113236,NA,-0.0661854612965628,NA,0.27772368321241,-0.164620734810676,NA,NA,0.170385698046959,1.6430353010631,7,-68.8346210782928,154.616610577638,9.28455320024375,0.00142187626080822
"206",0.356760822318457,-0.532757903388346,NA,-0.0593292126375626,-0.151780518224655,NA,NA,0.286909277638703,-0.175849220149796,NA,NA,0.170260457221361,1.64157978202356,7,-68.8380929586315,154.623554338316,9.29149696092114,0.00141694823628018
"334",0.283288315157231,-0.569217262852554,NA,0.108905704645197,-0.157118371983807,NA,NA,0.259040857239294,NA,0.192188944128947,NA,0.169159283358435,1.62880109238953,7,-68.8685967568262,154.684561934705,9.35250455731045,0.00137437850331219
"328",0.265627077465411,-0.551909846745364,-0.0234772788508254,0.0750887196285518,NA,NA,NA,0.234057395127417,NA,0.182514193110763,NA,0.168955619151005,1.62644136024024,7,-68.8742340620784,154.695836545209,9.36377916781487,0.00136665250951015
"69",0.242941618890034,NA,NA,-0.103841664740071,NA,NA,NA,0.16562897438502,NA,NA,NA,0.0115289810948454,0.25076414866844,4,-72.8641849126889,154.703979581475,9.37192220408073,0.00136109947135521
"321",0.244503860998619,NA,NA,NA,NA,NA,NA,0.190127421522531,NA,0.0490433421511143,NA,0.010799890045806,0.234732723589751,4,-72.8811433388325,154.737896433763,9.40583905636805,0.00133821198289907
"833",-0.0332735655529047,NA,NA,NA,NA,NA,NA,0.0290843077604986,NA,0.12131211757094,0.410461283569753,0.059478782615043,0.885363287099323,5,-71.7205072503653,154.941014500731,9.60895712333613,0.00120897796823129
"308",0.392488776006631,-0.531284254169372,-0.0543438417165834,NA,NA,0.0259313335728004,-0.265601714003964,NA,NA,0.0549783196519127,NA,0.163335497536627,1.56177772147112,7,-69.0292530678042,155.005874556661,9.67381717926656,0.00117039970698322
"88",0.264733491508008,-0.4984977270221,-0.0363433651896957,-0.0735045053177449,NA,-0.10551470361878,NA,0.164911272298038,NA,NA,NA,0.163198445090751,1.56021168109278,7,-69.0330203462002,155.013409113453,9.68135173605853,0.00116599878041519
"56",0.401933911739115,-0.533041344059287,-0.0544673254315101,-0.0762334902959722,NA,0.0834681596512651,-0.296401429538835,NA,NA,NA,NA,0.162921878084298,1.55705302832612,7,-69.0406207027783,155.028609826609,9.69655244921464,0.00115717036596144
"261",0.251450119819452,NA,NA,-0.184358712216957,NA,NA,NA,NA,NA,-0.0770677909464606,NA,0.00377528303100563,0.0814761808094622,4,-73.0438960488006,155.063401853699,9.7313444763042,0.0011372142958926
"94",0.252259368616533,-0.524269924902826,NA,-0.0599228499785939,-0.0610108639335561,-0.0940416180732691,NA,0.174959401207083,NA,NA,NA,0.16205669797678,1.54718532946554,7,-69.0643805711097,155.076129563272,9.74407218587751,0.00113000020830187
"80",0.296556128793187,-0.518041871697382,-0.0344143913108062,-0.104723051618887,-0.124642891767286,NA,NA,0.155279115977458,NA,NA,NA,0.16158315424708,1.54179301206167,7,-69.0773748027935,155.10211802664,9.77006064924501,0.00111541171221334
"13",0.22913258122709,NA,NA,-0.116879976964251,0.119543043556872,NA,NA,NA,NA,NA,NA,0.00225369248602921,0.0485638364028217,4,-73.0789984538985,155.133606663895,9.80154928650006,0.00109798783824994
"62",0.330054004422631,-0.565990240098407,NA,-0.0712349133057795,0.117639821539468,0.075907532563412,-0.279997532533297,NA,NA,NA,NA,0.160563992402669,1.53020829175286,7,-69.1053161389572,155.158000698967,9.8259433215724,0.00108467700259785
"310",0.347831663631658,-0.567055615819452,NA,-0.000249620258165929,NA,0.0366326482697047,-0.249044978136746,NA,NA,0.0498488753258171,NA,0.160557884718902,1.5301389510593,7,-69.1054834849065,155.158335390866,9.82627801347104,0.0010844955014823
"849",-0.0960174803094127,NA,NA,NA,NA,-0.503059420607327,NA,0.19469192983418,NA,0.295505801848445,0.464359114281424,0.105497963219899,1.20888950336711,6,-70.5666656012432,155.287177356332,9.95511997893792,0.00101683404266666
"280",0.292011113586162,-0.509545093177063,-0.0464027683239248,0.065431372403965,NA,-0.141941011406424,NA,NA,NA,0.124165735203998,NA,0.157468272255916,1.49519138159978,7,-69.1899808352881,155.327330091629,9.99527271423423,0.00099662326691377
"286",0.205057422142178,-0.536785611303668,NA,0.102192627953357,0.237188039536137,-0.179397072496367,NA,NA,NA,0.152576035313144,NA,0.156939962587209,1.48924115125971,7,-69.204398469533,155.356165360119,10.0241079827241,0.000982357404283606
"272",0.273936020903667,-0.526359204539326,-0.0392405242845964,-0.0670456734525148,0.0610708426357849,NA,NA,NA,NA,0.0571606136720667,NA,0.155070221284365,1.4682424522434,7,-69.2553514636119,155.458071348276,10.1260139708819,0.000933557169813596
"32",0.266900795531847,-0.506177939457839,-0.0425539418072763,-0.106289219636642,0.0773435284229415,-0.0534041432062128,NA,NA,NA,NA,NA,0.154560953829875,1.46253906327173,7,-69.2692101572121,155.485788735477,10.1537313580822,0.00092070852539754
"789",-0.122069102152584,NA,NA,0.232594908988816,NA,-0.53301393118421,NA,NA,NA,0.329817590330686,0.526070786947453,0.100407455079087,1.14404729160035,6,-70.6971849201569,155.54821599416,10.2161586167654,0.000892413759166723
"337",0.222288917804792,NA,NA,NA,NA,-0.425425369675827,NA,0.348061047492349,NA,0.188329628483018,NA,0.0443116153372501,0.649126456570275,5,-72.0884542187379,155.676908437476,10.3448510600811,0.000836798799721578
"817",-0.137387175722206,NA,NA,NA,NA,-0.453592134938916,0.0565586478872982,NA,NA,0.238280452555893,0.514868339339303,0.0974072422877855,1.10617354827939,6,-70.7737641241342,155.701374402115,10.3693170247201,0.000826624612005618
"209",0.304871790580791,NA,NA,NA,NA,-0.273257440327454,NA,0.342417693711053,-0.171015397669112,NA,NA,0.0414262743811658,0.605032065699388,5,-72.1577894387063,155.815578877413,10.4835215000181,0.000780744880491324
"113",0.275686739981534,NA,NA,NA,NA,-0.258861967101229,-0.144175402111733,0.259382033134892,NA,NA,NA,0.0342389565617346,0.49633953980763,5,-72.329598503524,156.159197007048,10.8271396296534,0.000657496456153229
"85",0.225313343733686,NA,NA,0.0316756892225709,NA,-0.321894720585108,NA,0.233480314040199,NA,NA,NA,0.0324298789809564,0.469235558096005,5,-72.3726421344,156.2452842688,10.9132268914055,0.000629795865133097
"197",0.337580197602182,NA,NA,-0.0668464530281269,NA,NA,NA,0.311906515706456,-0.209679486241511,NA,NA,0.0255796429078943,0.367515926883156,5,-72.5349046016327,156.569809203265,11.2377518258708,0.000535463794012626
"449",0.340486226453424,NA,NA,NA,NA,NA,NA,0.335029069098442,-0.21354803511077,0.0410011682229363,NA,0.0255760650882126,0.367463173272104,5,-72.5349890515326,156.569978103065,11.2379207256706,0.000535418576058181
"29",0.177770556433158,NA,NA,-0.0208950666947939,0.299700567736779,-0.271874828982733,NA,NA,NA,NA,NA,0.017250070385254,0.245740018000539,5,-72.7306783940573,156.961356788115,11.62929941072,0.000440257368194288
"277",0.250039778927555,NA,NA,0.101010092007894,NA,-0.301901887859535,NA,NA,NA,0.0767263577414627,NA,0.0156452881226344,0.222515350486959,5,-72.7682056302298,157.03641126046,11.7043538830651,0.000424041889969841
"305",0.23251518081521,NA,NA,NA,NA,-0.279389907423672,0.0452511861651507,NA,NA,0.0423748308445135,NA,0.0152052399271953,0.216160125552453,5,-72.7784853056001,157.0569706112,11.7249132338056,0.000419705205042864
"53",0.242249414662391,NA,NA,-0.00512021653313226,NA,-0.247049532734105,0.0139847930766189,NA,NA,NA,NA,0.0144802865537711,0.205702644997224,5,-72.7954104498502,157.0908208997,11.7587635223057,0.000412661410669523
"77",0.258551190964091,NA,NA,-0.0966575302344772,-0.0709678012314145,NA,NA,0.172953107125255,NA,NA,NA,0.0116776439696324,0.165418716451488,5,-72.86072552622,157.22145105244,11.8893936750453,0.000386569763142177
"325",0.243263926103375,NA,NA,-0.0900582683641859,NA,NA,NA,0.172243426813046,NA,0.0133217195066416,NA,0.0115731144896332,0.163920675600811,5,-72.8631579824888,157.226315964978,11.894258587583,0.000385630591808168
"781",-0.0267028317973059,NA,NA,-0.247384193051554,-0.149218326431886,NA,NA,NA,NA,0.0318712913048855,0.442253847483426,0.0669253551060826,0.735187579676797,6,-71.5376801289148,157.229206411676,11.8971490342811,0.000385073672006447
"837",-0.0639920190011887,NA,NA,-0.281934214342243,NA,NA,NA,-0.0424616506374343,NA,0.0164649383529874,0.450116932866426,0.0666024047560462,0.731386766184081,6,-71.5456393773464,157.245124908539,11.9130675311443,0.000382020939829153
